lat;lon;id
;;1
1.2166667;103.85;2
1.223545;103.860581;3
1.2278033;103.7649491;4
1.2283344;103.7665923;5
1.228866;103.767602;6
1.231275;103.754786;7
1.243254;103.841955;8
1.2454202;103.8435786;9
1.2458536;103.8395922;10
1.247243;103.675729;11
1.2489428;103.8464082;12
1.2490124;103.8465273;13
1.2494041;103.8303209;14
1.249467;103.8468933;15
1.250041;103.846343;16
1.250048;103.846314;17
1.250069;103.846311;18
1.2500787;103.8421071;19
1.2501802;103.8261386;20
1.2502028;103.8469368;21
1.2503607;103.8206441;22
1.250905;103.817667;23
1.251375;103.817857;24
1.2516101;103.8480291;25
1.2516525;103.8171855;26
1.252003;103.696733;27
1.252026;103.824154;28
1.252243;103.833847;29
1.2524413;103.8452123;30
1.252495;103.816038;31
1.2529656;103.6866724;32
1.2531005;103.8154224;33
1.2540185;103.814562;34
1.2540403;103.6866628;35
1.2545239;103.8137499;36
1.2546438;103.8193846;37
1.2548515;103.8138622;38
1.255046;103.816752;39
1.2559413;103.8122967;40
1.255997;103.704233;41
1.256237;103.812091;42
1.257216;103.811326;43
1.257582;103.702854;44
1.258942;103.7058009;45
1.261777;103.674792;46
1.2635289;103.694648;47
1.263574;103.676014;48
1.2636951;103.8203755;49
1.26405;103.819236;50
1.2642213;103.8187748;51
1.264243;103.8187834;52
1.2643;103.8186374;53
1.264476;103.818738;54
1.2645158;103.8192714;55
1.264568;103.724163;56
1.264648;103.815252;57
1.264707;103.8197563;58
1.2647326;103.8159068;59
1.2647884;103.822894;60
1.264841;103.814925;61
1.2648866;103.8182751;62
1.2650857;103.8205323;63
1.265146;103.815105;64
1.2652009;103.8258875;65
1.265251;103.805053;66
1.265261;103.814417;67
1.265368;103.8099624;68
1.265388;103.815322;69
1.265469;103.815607;70
1.2655454;103.8215005;71
1.2655469;103.8215136;72
1.2655489;103.8215305;73
1.2655513;103.8215511;74
1.2655521;103.8215586;75
1.2655523;103.8215604;76
1.2655569;103.8215998;77
1.2655573;103.8216035;78
1.2655586;103.8216147;79
1.2655588;103.8216166;80
1.2655597;103.8216241;81
1.2655599;103.821626;82
1.2655605;103.8216316;83
1.2655607;103.8216335;84
1.265775;103.815688;85
1.2658383;103.8148017;86
1.2658558;103.8221971;87
1.265864;103.815982;88
1.265902;103.813751;89
1.265951;103.816962;90
1.265951;103.81031;91
1.2659642;103.822191;92
1.2659935;103.8204935;93
1.2660595;103.8254671;94
1.2661244;103.8184606;95
1.2661746;103.8233469;96
1.266183;103.815187;97
1.266197;103.816067;98
1.2662006;103.8234931;99
1.2662079;103.8239356;100
1.2662845;103.822667;101
1.2663054;103.810608;102
1.266309;103.814015;103
1.266388;103.816372;104
1.266429;103.815462;105
1.266497;103.8165841;106
1.266521;103.809851;107
1.266535;103.810519;108
1.2666139;103.81036;109
1.266616;103.8228035;110
1.2666589;103.8124208;111
1.2667409;103.8194032;112
1.2667938;103.8145122;113
1.26685;103.813301;114
1.266862;103.80974;115
1.266889;103.811162;116
1.266916;103.816628;117
1.266988;103.812771;118
1.2670683;103.822318;119
1.267142;103.8110279;120
