id;point;address
98139;22173;hougang avenue 5 313
98140;22173;hougang avenue 5 320
98141;22173;hougang avenue 5 321
98142;22173;hougang avenue 5 323
98143;22173;hougang avenue 5 324
98144;22173;hougang avenue 5 327
98145;22173;hougang avenue 5 328
98146;22173;hougang avenue 5 332
98147;22173;hougang avenue 5 333
98148;22173;hougang avenue 5 356
98149;22173;hougang avenue 5 358
98150;22173;hougang avenue 5 362
98151;22173;hougang avenue 5 446
98152;22173;hougang avenue 6 108
98153;22173;hougang avenue 6 422
98154;22173;hougang avenue 6 423
98155;22173;hougang avenue 6 424
98156;22173;hougang avenue 6 425
98157;22173;hougang avenue 6 426
98158;22173;hougang avenue 6 427
98159;22173;hougang avenue 6 429
98160;22173;hougang avenue 6 430
98161;22173;hougang avenue 6 432
98162;22173;hougang avenue 6 521
98163;22173;hougang avenue 6 524
98164;22173;hougang avenue 6 526
98165;22173;hougang avenue 6 527
98166;22173;hougang avenue 6 529
98167;22173;hougang avenue 6 532
98168;22173;hougang avenue 6 533
98169;22173;hougang avenue 7 14
98170;22173;hougang avenue 7 18
98171;22173;hougang avenue 7 247
98172;22173;hougang avenue 7 31
98173;22173;hougang avenue 7 31c
98174;22173;hougang avenue 7 326
98175;22173;hougang avenue 7 336
98176;22173;hougang avenue 7 337
98177;22173;hougang avenue 7 339
98178;22173;hougang avenue 7 341
98179;22173;hougang avenue 7 349
98180;22173;hougang avenue 7 350
98181;22173;hougang avenue 7 351
98182;22173;hougang avenue 7 352
98183;22173;hougang avenue 7 356
98184;22173;hougang avenue 7 70
98185;22173;hougang avenue 7 72
98186;22173;hougang avenue 7 76
98187;22173;hougang avenue 7 78
98188;22173;hougang avenue 8 -
98189;22173;hougang avenue 8 417
98190;22173;hougang avenue 8 433
98191;22173;hougang avenue 8 436
98192;22173;hougang avenue 8 437
98193;22173;hougang avenue 8 438
98194;22173;hougang avenue 8 439
98195;22173;hougang avenue 8 44
98196;22173;hougang avenue 8 440
98197;22173;hougang avenue 8 444
98198;22173;hougang avenue 8 445
98199;22173;hougang avenue 8 446
98200;22173;hougang avenue 8 467
98201;22173;hougang avenue 8 468
98202;22173;hougang avenue 8 540
98203;22173;hougang avenue 8 542
98204;22173;hougang avenue 8 543
98205;22173;hougang avenue 8 544
98206;22173;hougang avenue 8 610
98207;22173;hougang avenue 8 611
98208;22173;hougang avenue 8 612
98209;22173;hougang avenue 8 613
98210;22173;hougang avenue 8 616
98211;22173;hougang avenue 8 619
98212;22173;hougang avenue 8 620
98213;22173;hougang avenue 8 623
98214;22173;hougang avenue 8 624
98215;22173;hougang avenue 8 625
98216;22173;hougang avenue 8 627
98217;22173;hougang avenue 8 628
98218;22173;hougang avenue 8 629
98219;22173;hougang avenue 8 631
98220;22173;hougang avenue 8 632
98221;22173;hougang avenue 8 643
98222;22173;hougang avenue 8 644
98223;22173;hougang avenue 8 645
98224;22173;hougang avenue 8 648
98225;22173;hougang avenue 8 649
98226;22173;hougang avenue 8 652
98227;22173;hougang avenue 8 658
98228;22173;hougang avenue 8 669
98229;22173;hougang avenue 8 673
98230;22173;hougang avenue 8 674
98231;22173;hougang avenue 8 675
98232;22173;hougang avenue 8 680
98233;22173;hougang avenue 8 681
98234;22173;hougang avenue 8 684
98235;22173;hougang avenue 9 51
98236;22173;hougang avenue 9 916
98237;22173;hougang avenue 9 918
98238;22173;hougang avenue 9 923
98239;22173;hougang avenue 9 924
