reg_date;point;ssic_1;ssic_2;local;id
19340116;21;763;"";1;1
19340122;393;641;819;1;2
19340217;21;1056;"";1;3
19340220;298;553;567;1;4
19340220;21;1056;"";1;5
19340226;12397;762;"";1;6
19340227;29;909;"";1;7
19340324;287;1056;"";1;8
19340423;29;909;"";1;9
19340507;799;569;"";1;10
19340516;1591;67;"";1;11
19340524;155;641;819;1;12
19340530;21;1056;"";1;13
19340612;2295;909;"";"";14
19340717;287;1056;"";1;15
19340717;21;38;"";1;16
19340802;2453;1056;"";1;17
19340913;1365;762;815;1;18
19340919;4208;375;379;1;19
19341002;18738;569;219;1;20
19341031;295;167;"";1;21
19341109;4383;40;"";1;22
19341120;29;1056;"";1;23
19341121;688;1056;"";1;24
19341129;496;569;"";1;25
19341204;723;909;"";1;26
19341207;21;1056;"";1;27
19341231;2990;762;10;1;28
