reg_date;point;ssic_1;ssic_2;local;id
19300201;29;1056;"";"";1
19300208;21;704;"";1;2
19300208;21;699;"";1;3
19300215;155;569;555;1;4
19300218;29;569;"";1;5
19300310;21;846;"";1;6
19300314;21;1056;"";1;7
19300322;1603;782;"";"";8
19300409;21;571;"";1;9
19300410;21;1056;"";1;10
19300522;21;1056;"";1;11
19300613;21;846;"";1;12
19300623;1109;762;"";1;13
19300721;982;803;"";"";14
19300730;29;569;"";"";15
19300815;2990;97;98;"";16
19300904;21;704;"";1;17
19300918;21;1056;"";1;18
19300918;21;1056;"";"";19
19301015;33;1056;"";"";20
19301205;29;1056;"";1;21
19301220;409;1056;"";1;22
19301230;21;181;"";1;23
