reg_date;point;ssic_1;ssic_2;local;id
19270104;295;858;"";1;1
19270106;12555;"";"";"";2
19270119;5289;819;"";1;3
19270119;29;1056;"";"";4
19270122;21;1056;"";1;5
19270127;298;569;"";1;6
19270204;295;858;"";1;7
19270209;21;1056;"";"";8
19270215;21;1056;"";"";9
19270221;3347;1056;"";1;10
19270302;21;1056;"";1;11
19270414;21;909;"";1;12
19270427;8741;726;"";1;13
19270503;21;1056;"";1;14
19270519;21;50;"";1;15
19270527;287;1056;"";1;16
19270623;29;1056;"";1;17
19270705;2453;1056;"";1;18
19270706;295;1056;"";1;19
19270729;21;1056;"";1;20
19270805;29;1056;"";1;21
19270827;295;1056;"";1;22
19270913;295;1056;"";1;23
19270915;824;132;518;"";24
19270916;59;1056;"";"";25
19270921;21;487;"";1;26
19270922;29;1056;"";1;27
19271004;3347;216;"";1;28
19271026;21;1056;"";1;29
19271026;21;1056;"";1;30
19271110;537;763;"";1;31
19271202;21;1056;"";"";32
19271206;21;1056;"";1;33
19271208;21;1056;"";1;34
19271210;47;1056;"";"";35
19271214;21;569;"";1;36
19271217;17463;1023;763;1;37
19271219;3347;1023;"";1;38
19271224;11002;569;"";1;39
19271231;155;762;761;1;40
