reg_date;point;ssic_1;ssic_2;local;id
19490103;11885;977;516;1;1
19490103;73;763;"";1;2
19490103;6444;139;521;1;3
19490103;21;1056;"";1;4
19490104;82;1056;"";1;5
19490113;834;567;556;1;6
19490113;317;219;557;1;7
19490114;8;1056;"";1;8
19490118;2306;375;444;1;9
19490118;2990;762;"";1;10
19490118;295;1056;"";1;11
19490203;12;909;"";"";12
19490207;825;789;"";"";13
19490209;1238;569;847;"";14
19490209;872;375;"";1;15
19490210;175;819;"";1;16
19490212;1979;813;815;1;17
19490218;141;1056;"";1;18
19490222;8809;1014;"";1;19
19490222;261;"";"";1;20
19490223;11537;569;594;1;21
19490224;287;794;"";1;22
19490302;21;1056;"";1;23
19490311;287;789;"";"";24
19490314;21;1056;"";"";25
19490314;21;909;"";"";26
19490315;16740;829;763;1;27
19490317;1611;762;"";1;28
19490325;2257;586;"";1;29
19490328;1330;580;"";1;30
19490329;12;1056;"";1;31
19490401;4980;815;"";1;32
19490406;1284;250;"";1;33
19490421;24;90;485;1;34
19490428;6565;191;"";1;35
19490518;175;762;769;"";36
19490520;954;676;"";"";37
19490613;18049;815;762;1;38
19490621;21;803;"";"";39
19490630;18049;504;601;1;40
19490630;1591;763;"";1;41
19490701;799;569;473;1;42
19490701;723;116;555;1;43
19490714;21;1056;"";1;44
19490715;1284;569;"";1;45
19490720;21;1056;"";"";46
19490725;44;987;"";1;47
19490729;10669;1056;"";"";48
19490806;370;36;"";1;49
19490809;481;191;473;1;50
19490810;262;815;"";1;51
19490812;295;582;"";1;52
19490818;299;116;"";1;53
19490818;948;153;"";1;54
19490822;59;1056;"";1;55
19490823;94;763;815;1;56
19490826;2543;1056;"";1;57
19490827;10;1056;"";1;58
19490829;10572;1056;"";1;59
19490902;29;1056;"";1;60
19490902;175;762;762;1;61
19490907;750;139;"";1;62
19490928;21;1042;1042;1;63
19491001;298;546;516;1;64
19491005;1591;6;260;"";65
19491008;21;1056;"";1;66
19491017;287;1056;"";1;67
19491024;439;139;141;1;68
19491029;10;1056;"";1;69
19491031;8738;1056;"";1;70
19491031;29;1056;"";"";71
19491102;21;103;"";1;72
19491108;70;553;"";1;73
19491109;21;1056;"";1;74
19491112;1725;569;468;1;75
19491112;261;90;"";1;76
19491115;21;1056;"";1;77
19491119;44;569;430;1;78
19491123;29;1056;"";1;79
19491124;295;1056;"";1;80
19491128;287;475;474;1;81
19491201;24;112;498;1;82
19491201;21;1056;"";1;83
19491207;9972;1056;"";1;84
19491208;979;115;"";1;85
19491214;295;1056;"";1;86
19491214;29;569;"";"";87
19491215;12160;545;"";1;88
19491221;1193;36;557;1;89
19491221;29;1056;"";1;90
19491221;1095;567;661;1;91
19491229;3856;616;"";1;92
19491230;1591;713;141;1;93
19491231;3763;619;395;1;94
