reg_date;point;ssic_1;ssic_2;local;id
19560103;29;762;"";1;1
19560103;15074;376;542;1;2
19560106;6000;375;"";1;3
19560112;948;815;884;1;4
19560113;3188;1056;"";1;5
19560113;29;1056;"";"";6
19560116;3244;986;"";1;7
19560117;29;1056;"";1;8
19560120;1688;468;"";"";9
19560131;799;191;"";1;10
19560201;21;1056;"";1;11
19560201;21;1056;"";1;12
19560202;2344;647;"";1;13
19560203;1862;762;813;1;14
19560208;2990;762;813;1;15
19560211;163;726;762;1;16
19560211;1888;496;621;1;17
19560220;18011;583;"";1;18
19560222;21;1056;"";1;19
19560224;3;762;"";1;20
19560225;21;191;"";1;21
19560228;21;1056;"";1;22
19560228;82;586;"";1;23
19560229;1713;642;647;"";24
19560229;29;1056;"";1;25
19560301;73;488;815;1;26
19560308;21;762;"";1;27
19560310;82;704;"";1;28
19560314;298;1056;"";1;29
19560321;1284;763;"";1;30
19560323;1247;569;468;1;31
19560327;1342;191;"";1;32
19560329;1591;763;"";1;33
19560406;21;1056;"";1;34
19560410;21;1056;"";1;35
19560413;287;909;"";"";36
19560414;18671;592;1038;1;37
19560414;2144;717;"";1;38
19560417;508;1056;"";1;39
19560418;29;413;"";1;40
19560418;1621;555;388;1;41
19560427;59;496;"";1;42
19560501;4494;569;"";"";43
19560503;14796;813;762;1;44
19560503;128;198;473;1;45
19560507;21;1056;"";1;46
19560515;12;539;"";1;47
19560518;100;762;813;1;48
19560518;29;1056;"";1;49
19560601;533;1056;"";1;50
19560604;30;1056;"";1;51
19560607;175;667;762;1;52
19560608;3336;191;"";1;53
19560612;30;1056;"";1;54
19560613;29;1056;"";1;55
19560615;21;191;"";1;56
19560618;155;763;"";1;57
19560618;2990;662;664;"";58
19560619;2591;569;468;1;59
19560621;6541;468;613;1;60
19560621;317;1056;"";1;61
19560621;688;898;"";1;62
19560628;29;815;"";1;63
19560629;29;1056;"";1;64
19560629;261;1056;"";1;65
19560630;21;1056;"";1;66
19560630;2591;1056;"";1;67
19560702;29;1056;"";1;68
19560702;33;763;813;1;69
19560702;431;"";"";"";70
19560703;295;430;"";1;71
19560703;1603;763;"";1;72
19560705;59;1056;"";1;73
19560706;690;1056;"";1;74
19560707;3519;762;667;1;75
19560709;299;1056;"";1;76
19560710;1888;1056;"";1;77
19560711;1284;"";"";"";78
19560712;10424;769;"";1;79
19560714;1888;1056;"";1;80
19560716;3408;468;"";"";81
19560719;21;1056;"";1;82
19560719;2647;1056;"";1;83
19560720;1143;569;"";1;84
19560723;24;1056;"";1;85
19560728;11040;1014;"";1;86
19560728;5409;375;"";1;87
19560728;317;36;"";1;88
19560803;2144;1056;"";1;89
19560804;3171;1056;"";1;90
19560807;317;1056;"";1;91
19560810;76;763;813;1;92
19560810;21;1056;"";1;93
19560810;29;1056;"";1;94
19560810;59;1056;"";1;95
19560813;954;762;"";1;96
19560814;59;583;"";1;97
19560815;1888;1056;"";1;98
19560818;18680;569;"";"";99
19560822;374;1056;"";1;100
19560829;2990;813;"";1;101
19560831;1888;1056;"";1;102
19560831;29;468;430;"";103
19560904;21;1056;"";1;104
19560912;2758;569;"";"";105
19560915;3503;1056;"";"";106
19560918;59;1056;"";1;107
19560922;3347;1056;"";1;108
19560924;3082;858;"";1;109
19560924;6541;1056;"";1;110
19560927;10899;1056;"";1;111
19560929;184;1056;"";"";112
19561010;29;1056;"";1;113
19561012;2990;473;"";"";114
19561018;688;819;813;1;115
19561019;1010;1056;"";1;116
19561023;21;1056;"";1;117
19561025;15703;713;"";"";118
19561030;385;468;"";1;119
19561101;1023;825;"";"";120
19561102;2454;468;"";1;121
19561103;33;569;"";1;122
19561106;693;94;"";1;123
19561109;1501;569;430;"";124
19561110;175;762;"";1;125
19561112;24;813;"";1;126
19561116;1239;473;"";1;127
19561121;1888;1056;"";1;128
19561121;3347;763;"";1;129
19561124;982;1056;"";1;130
19561204;59;569;"";1;131
19561205;2591;1056;"";1;132
19561208;29;1056;"";"";133
19561213;24;1056;"";1;134
19561213;7819;481;"";1;135
19561214;3347;569;"";1;136
19561215;4762;481;"";1;137
19561215;1284;517;"";1;138
19561215;287;1056;"";1;139
19561217;43;260;"";1;140
19561219;88;430;"";1;141
19561220;799;726;"";1;142
19561221;317;1056;"";1;143
19561224;21;1056;"";"";144
19561227;10;715;"";1;145
19561227;636;717;605;1;146
19561228;21;1056;"";1;147
19561228;21;1056;"";1;148
19561228;10046;761;"";1;149
19561228;155;763;"";1;150
19561228;70;678;"";1;151
19561228;128;762;815;1;152
19561229;4430;569;613;1;153
19561231;59;1056;"";1;154
19561231;5289;10;815;1;155
19561231;2101;762;"";1;156
19561231;1530;762;667;1;157
19561231;269;92;579;1;158
19561231;73;494;"";1;159
19561231;264;132;518;1;160
