reg_date;point;ssic_1;ssic_2;local;id
19720103;4552;375;813;1;1
19720103;29;569;7;1;2
19720103;1856;928;769;1;3
19720103;7958;430;841;1;4
19720104;1978;676;388;1;5
19720104;688;813;"";1;6
19720104;317;1056;"";1;7
19720104;1171;1039;760;1;8
19720104;1310;569;468;1;9
19720104;141;439;430;1;10
19720104;5302;1056;"";1;11
19720105;29;801;"";"";12
19720106;82;847;569;1;13
19720106;24;106;569;1;14
19720106;15157;569;"";1;15
19720106;212;"";"";1;16
19720106;486;903;695;1;17
19720107;799;763;819;1;18
19720108;1284;488;569;1;19
19720108;1342;212;"";1;20
19720108;82;569;676;"";21
19720108;43;569;"";1;22
19720110;73;631;"";1;23
19720110;21;1056;"";1;24
19720110;44;762;"";1;25
19720110;242;569;"";1;26
19720110;18681;1056;"";1;27
19720111;82;569;"";"";28
19720111;481;661;"";1;29
19720111;3602;555;"";1;30
19720112;5899;567;"";1;31
19720113;16733;676;388;1;32
19720113;100;430;813;1;33
19720113;746;569;344;1;34
19720114;1603;569;468;1;35
19720114;2990;909;"";1;36
19720114;1258;1056;"";1;37
19720114;73;167;"";1;38
19720114;262;624;"";1;39
19720114;2144;864;"";1;40
19720115;30;569;"";1;41
19720115;4511;569;468;1;42
19720117;13;430;909;1;43
19720117;2990;375;"";1;44
19720117;1023;813;"";1;45
19720117;1603;95;103;1;46
19720117;2372;661;676;1;47
19720119;176;1056;"";1;48
19720119;481;569;95;1;49
19720119;43;858;769;1;50
19720119;100;813;"";1;51
19720119;262;801;761;1;52
19720120;3347;392;"";1;53
19720120;1342;695;903;1;54
19720121;2990;819;"";1;55
19720121;982;555;569;1;56
19720121;29;928;"";1;57
19720121;1143;903;"";1;58
19720121;24;542;1039;1;59
19720121;73;815;829;1;60
19720121;24;1056;"";1;61
19720121;5297;389;391;1;62
19720121;29;430;439;"";63
19720121;143;115;498;1;64
19720121;1171;555;"";1;65
19720122;74;438;"";1;66
19720122;688;762;"";1;67
19720122;4797;379;379;1;68
19720124;17241;430;439;1;69
19720125;29;569;"";1;70
19720125;5409;413;"";1;71
19720127;777;531;468;1;72
19720127;3129;650;"";1;73
19720127;2591;769;762;1;74
19720127;1293;430;439;1;75
19720127;175;1056;"";"";76
19720128;82;662;"";1;77
19720128;59;388;"";1;78
19720128;2568;516;"";1;79
19720128;82;395;468;1;80
19720129;1284;290;569;1;81
19720129;1680;503;523;1;82
19720131;261;1056;"";"";83
19720131;1861;1056;"";1;84
19720131;11113;106;468;1;85
19720131;688;282;73;1;86
19720131;295;766;"";1;87
19720131;155;815;"";1;88
19720131;295;805;"";"";89
19720131;13390;794;"";1;90
19720131;21;788;569;1;91
19720131;626;616;569;1;92
19720131;6236;1056;"";1;93
19720201;1095;813;763;1;94
19720201;22923;569;468;1;95
19720201;13793;763;"";1;96
