reg_date;point;ssic_1;ssic_2;local;id
19870102;234;"";"";"";1
19870102;72;484;"";1;2
19870102;615;864;"";"";3
19870102;481;453;"";"";4
19870102;2258;430;439;1;5
19870102;18247;498;"";"";6
19870102;260;444;445;"";7
19870102;450;1047;"";"";8
19870102;218;819;"";"";9
19870102;581;858;717;"";10
19870102;2478;650;484;"";11
19870102;948;750;893;1;12
19870102;38;1056;"";"";13
19870102;2328;710;"";"";14
19870102;636;491;115;"";15
19870102;481;898;"";"";16
19870102;219;605;650;"";17
19870102;82;1052;1011;"";18
19870102;70;569;"";"";19
19870102;287;354;352;1;20
19870102;1640;601;"";"";21
19870102;1183;762;"";"";22
19870102;70;574;576;"";23
19870102;317;560;468;"";24
19870102;82;1052;1047;"";25
19870102;1032;987;105;"";26
19870102;3669;1039;"";"";27
19870102;799;"";453;"";28
19870102;2590;864;453;1;29
19870102;73;565;"";"";30
19870102;215;819;569;"";31
19870102;70;453;455;"";32
19870102;688;287;750;1;33
19870102;1926;504;545;1;34
19870102;317;762;"";1;35
19870102;1171;761;"";1;36
19870102;5102;484;489;"";37
19870102;234;534;613;"";38
19870102;1943;569;696;1;39
19870102;13;430;439;1;40
19870102;5209;561;569;1;41
19870102;82;595;"";"";42
19870102;238;"";"";"";43
19870102;3432;89;"";"";44
19870102;44;713;"";"";45
19870102;1192;624;607;"";46
19870102;342;575;"";"";47
19870102;13767;484;"";1;48
19870102;218;"";569;"";49
19870102;572;750;468;"";50
19870102;1408;605;520;1;51
19870102;640;569;468;"";52
19870102;1284;389;841;1;53
19870102;5730;504;615;"";54
19870102;82;574;468;"";55
19870102;5018;375;434;"";56
19870102;1287;1056;"";"";57
19870102;11645;"";499;"";58
19870102;323;430;453;"";59
19870102;481;598;468;"";60
19870102;9793;554;"";1;61
19870102;344;534;"";"";62
19870102;13859;609;"";"";63
19870102;155;987;1044;"";64
19870102;1603;141;468;1;65
19870102;571;453;"";"";66
19870102;688;624;"";"";67
19870102;664;556;569;"";68
19870102;82;1052;1047;"";69
19870102;175;567;"";"";70
19870102;1190;453;"";"";71
19870102;1603;801;829;"";72
19870102;234;916;569;"";73
19870103;15338;594;560;"";74
19870103;1977;484;503;"";75
19870103;1772;"";569;"";76
19870103;10787;551;762;1;77
19870103;1023;828;503;"";78
19870103;7029;961;569;1;79
19870103;13810;570;"";"";80
19870103;688;604;601;"";81
19870103;1032;601;444;"";82
19870103;45;928;829;"";83
19870103;1603;550;"";1;84
19870103;9342;430;"";1;85
19870103;6074;711;574;"";86
19870103;74;453;"";"";87
19870103;4263;619;569;"";88
19870103;73;534;334;"";89
19870103;2476;453;560;"";90
19870103;48;650;468;"";91
19870103;12534;969;"";"";92
19870103;285;609;468;"";93
19870103;13;285;569;"";94
19870103;99;594;574;"";95
19870103;22181;619;468;"";96
19870103;176;607;468;"";97
19870103;1265;592;601;"";98
19870103;688;545;601;"";99
19870103;1346;864;453;"";100
19870103;264;580;"";"";101
19870103;11774;430;813;1;102
19870103;10321;163;169;1;103
19870103;73;897;"";"";104
19870103;44;858;431;"";105
19870103;4067;235;"";"";106
19870103;2811;580;"";"";107
19870103;546;444;569;"";108
19870103;285;560;"";"";109
19870103;799;650;468;"";110
19870103;864;650;"";"";111
19870103;3026;560;430;1;112
19870103;723;872;"";"";113
19870103;688;"";553;"";114
19870103;1723;613;592;"";115
19870103;260;453;569;"";116
19870105;688;453;461;"";117
19870105;176;552;561;1;118
19870105;1603;650;"";"";119
19870105;792;612;615;"";120
19870105;1032;594;430;"";121
19870105;2206;497;"";"";122
19870105;9624;579;575;"";123
19870105;13844;938;"";"";124
19870105;13844;938;"";"";125
19870105;1445;388;"";"";126
19870105;723;829;"";1;127
19870105;792;453;456;"";128
19870105;13844;938;"";"";129
19870105;218;"";704;"";130
19870105;1563;497;507;"";131
19870105;13844;938;"";"";132
19870105;11931;"";"";"";133
19870105;1530;141;"";"";134
19870105;15095;710;"";"";135
19870105;38;484;480;"";136
19870105;423;488;504;"";137
19870105;155;609;"";"";138
19870105;2496;710;"";"";139
19870105;3347;523;"";1;140
19870105;792;468;"";"";141
19870105;581;1056;"";1;142
19870105;3499;542;641;1;143
19870105;13844;938;"";"";144
19870105;615;673;1039;1;145
19870105;849;481;569;1;146
19870105;799;762;"";1;147
19870105;7146;479;"";"";148
19870105;13;444;"";"";149
19870105;2258;430;813;1;150
19870105;38;819;"";"";151
19870105;4098;518;502;"";152
19870105;5455;571;"";"";153
19870105;12977;799;"";1;154
19870106;6315;625;"";"";155
19870106;5212;694;667;1;156
19870106;218;569;468;"";157
19870106;2282;444;569;"";158
19870106;1401;290;534;1;159
19870106;987;479;569;"";160
19870106;6998;881;"";1;161
19870106;746;468;"";"";162
19870106;73;605;909;"";163
19870106;82;569;468;"";164
19870106;1462;551;750;1;165
19870106;19706;574;605;"";166
19870106;3315;609;605;"";167
19870106;20359;560;534;"";168
19870106;1603;898;"";1;169
19870106;1591;909;"";"";170
19870106;8204;513;484;"";171
19870106;24;503;574;"";172
19870106;825;430;7;1;173
19870106;73;95;"";1;174
19870106;299;679;569;"";175
19870107;1171;1051;468;"";176
19870107;70;375;569;"";177
19870107;554;188;516;1;178
19870107;588;40;"";1;179
19870107;94;1056;404;"";180
19870107;82;903;"";1;181
19870107;264;881;480;"";182
19870107;1603;444;"";"";183
19870107;948;560;503;1;184
19870107;444;560;"";"";185
19870107;175;705;580;"";186
19870107;5177;695;650;1;187
19870107;1186;1056;"";"";188
19870107;2443;569;468;1;189
19870107;6192;375;"";"";190
19870107;344;560;503;"";191
19870107;1693;581;774;"";192
19870107;1095;569;468;1;193
19870107;100;569;828;"";194
19870107;1109;428;"";1;195
19870107;14337;791;"";1;196
19870107;1603;625;"";"";197
19870107;285;627;628;"";198
19870107;1703;103;489;1;199
19870107;7861;928;"";1;200
19870107;948;579;"";"";201
19870107;6598;468;827;1;202
19870108;17937;898;961;"";203
19870108;1171;705;"";"";204
19870108;9013;609;"";"";205
19870108;5466;705;"";"";206
19870108;82;569;"";"";207
19870108;441;504;506;"";208
19870108;155;495;489;"";209
19870108;176;68;577;"";210
19870108;359;898;"";"";211
19870108;29;698;468;"";212
19870108;301;453;864;"";213
19870108;7863;825;909;"";214
19870108;238;705;579;"";215
19870108;13;673;"";"";216
19870108;2615;453;430;"";217
19870108;212;762;"";1;218
19870108;4495;388;500;"";219
19870108;750;588;551;"";220
19870108;818;829;"";"";221
19870108;723;484;574;"";222
19870108;17937;1044;"";"";223
19870108;38;453;864;"";224
19870108;70;569;"";"";225
19870108;234;"";445;"";226
19870108;10085;375;"";"";227
19870108;36;503;468;"";228
19870108;767;916;"";"";229
19870108;94;105;"";"";230
19870108;95;494;"";"";231
19870108;218;977;"";"";232
19870108;13;569;428;1;233
19870108;1284;569;"";1;234
19870108;2323;750;829;1;235
19870108;2285;"";"";1;236
19870108;2811;749;909;"";237
19870108;70;103;"";"";238
19870108;1723;609;468;"";239
19870108;13166;534;338;1;240
19870108;1396;579;"";"";241
19870108;1003;605;468;"";242
19870108;414;444;"";"";243
19870108;9981;444;375;"";244
19870108;1136;235;569;"";245
19870108;1946;571;625;"";246
19870108;596;506;864;1;247
19870108;6444;453;560;"";248
19870108;688;717;"";1;249
19870108;432;480;"";"";250
19870108;3190;392;"";1;251
19870108;567;717;139;"";252
19870108;94;829;468;"";253
19870108;176;864;468;"";254
19870108;10;841;"";"";255
19870108;1603;569;898;"";256
19870108;112;858;"";"";257
19870108;4513;428;250;"";258
19870108;82;704;468;"";259
19870108;167;430;439;"";260
19870108;13;453;"";"";261
19870108;4392;379;430;1;262
19870108;825;696;582;"";263
19870108;1083;573;"";"";264
19870108;323;569;828;"";265
19870108;437;998;"";"";266
19870108;1330;569;468;1;267
19870108;95;103;489;"";268
19870108;799;829;612;"";269
19870109;688;453;468;"";270
19870109;688;574;"";"";271
19870109;14690;560;430;"";272
19870109;4098;453;560;"";273
19870109;59;579;"";"";274
19870109;76;711;"";"";275
19870109;8;709;580;"";276
19870109;24;589;468;"";277
19870109;1171;909;"";"";278
19870109;6972;"";829;"";279
19870109;73;484;488;"";280
19870109;212;296;"";1;281
19870109;3958;711;"";"";282
19870109;688;430;560;"";283
19870109;3745;650;"";"";284
19870109;357;484;"";"";285
19870109;2990;897;841;1;286
19870109;688;103;489;1;287
19870109;155;609;"";"";288
19870109;8198;883;"";1;289
19870109;43;571;1056;"";290
19870109;253;847;"";"";291
19870109;2966;886;"";"";292
19870109;1284;916;825;"";293
19870109;695;631;621;"";294
19870109;9793;430;569;1;295
19870109;626;1044;"";"";296
19870109;1674;569;"";"";297
19870109;2056;574;819;"";298
19870109;238;1047;"";"";299
19870109;1415;909;468;"";300
19870109;1247;987;609;"";301
19870109;60;574;565;"";302
19870109;342;582;1039;"";303
19870109;8929;575;579;"";304
19870109;176;604;"";"";305
19870109;845;222;"";"";306
19870109;8031;1013;998;"";307
19870109;234;468;"";"";308
19870109;155;898;"";"";309
19870109;1032;480;569;"";310
19870109;6343;550;468;"";311
19870109;614;506;938;"";312
19870109;6236;829;"";"";313
19870109;1501;468;620;"";314
19870109;159;453;"";"";315
19870109;582;1056;"";"";316
19870109;94;444;909;"";317
19870109;82;898;"";"";318
19870109;82;445;"";"";319
19870109;6725;829;1056;"";320
19870109;82;388;"";"";321
19870109;688;569;650;"";322
19870109;444;480;569;"";323
19870109;596;560;557;"";324
19870109;4894;569;468;1;325
19870109;208;484;569;"";326
19870109;73;569;468;1;327
19870109;582;695;567;1;328
19870109;342;630;"";"";329
19870109;3;103;534;"";330
19870109;359;619;624;"";331
19870109;5949;909;594;"";332
19870110;1511;853;825;"";333
19870110;6849;678;"";"";334
19870110;3070;928;1056;1;335
19870110;238;605;"";"";336
19870110;546;430;235;"";337
19870110;4797;847;"";1;338
19870110;2331;704;"";"";339
19870110;758;468;898;"";340
19870110;625;"";468;"";341
19870110;3199;1031;556;"";342
19870110;1946;453;"";"";343
19870110;19332;710;"";"";344
19870110;860;497;468;"";345
19870110;2990;762;"";1;346
19870110;285;569;453;"";347
19870110;799;705;575;"";348
19870110;792;917;545;"";349
19870110;5003;819;569;"";350
19870110;2990;552;"";1;351
19870110;1927;968;"";1;352
19870110;82;480;625;"";353
19870110;965;516;"";1;354
19870110;42;609;601;"";355
19870110;1603;704;711;1;356
19870110;82;954;"";1;357
19870110;1023;835;829;1;358
19870110;5466;909;717;"";359
19870110;24;503;"";"";360
19870110;688;592;"";"";361
19870110;3;585;468;"";362
19870110;1102;740;544;"";363
19870110;444;696;678;"";364
19870110;94;564;"";"";365
19870110;234;864;"";"";366
19870110;10;569;468;"";367
19870110;1023;877;"";"";368
19870110;24;453;"";"";369
19870110;799;801;468;"";370
19870110;1287;560;453;"";371
19870110;3813;453;445;"";372
19870110;799;829;847;1;373
19870110;965;569;468;1;374
19870110;1603;763;"";1;375
19870110;2808;1031;"";"";376
19870110;368;593;574;"";377
19870110;8967;97;"";1;378
19870110;124;1010;"";1;379
19870110;42;572;"";"";380
19870110;1526;375;864;"";381
19870110;79;928;"";1;382
19870110;1291;605;961;"";383
19870110;19332;711;"";"";384
19870110;1023;259;"";1;385
19870110;19474;650;560;"";386
19870110;8908;581;579;"";387
19870110;1723;612;569;1;388
19870110;207;479;"";"";389
19870110;155;898;"";"";390
19870110;3203;586;"";1;391
19870110;444;1039;"";"";392
19870110;70;444;445;"";393
19870110;1772;650;897;"";394
19870110;1287;453;"";"";395
19870110;2124;611;572;"";396
19870110;218;605;"";"";397
19870112;73;695;650;"";398
19870112;799;899;"";"";399
19870112;234;883;"";1;400
19870112;1585;392;574;"";401
19870112;4495;"";444;"";402
19870112;1979;940;"";1;403
19870112;897;575;"";"";404
19870112;361;430;453;"";405
19870112;1884;569;"";"";406
19870112;1546;453;"";"";407
19870112;13534;503;444;"";408
19870112;444;103;453;"";409
19870112;10297;468;"";"";410
19870112;295;453;560;"";411
19870112;688;569;898;"";412
19870112;175;612;909;"";413
19870112;342;695;"";"";414
19870112;238;569;609;"";415
19870112;4392;"";569;"";416
19870112;60;472;"";"";417
19870112;112;625;"";"";418
19870112;695;829;569;"";419
19870112;565;542;511;"";420
19870112;877;574;609;"";421
19870112;582;453;461;"";422
19870112;13;430;"";"";423
19870112;29;430;897;1;424
19870112;2665;453;"";"";425
19870112;1784;569;"";"";426
19870112;1346;521;569;"";427
19870112;877;593;574;"";428
19870112;877;569;565;"";429
19870112;688;829;"";"";430
19870112;24;453;"";"";431
19870112;3576;710;"";"";432
19870112;238;"";"";"";433
19870112;2257;468;909;"";434
19870112;877;572;"";"";435
19870112;877;573;"";"";436
19870112;2883;375;453;"";437
19870112;12911;453;"";"";438
19870112;1856;573;"";"";439
19870112;218;"";430;"";440
19870112;1740;569;"";"";441
19870112;82;565;"";"";442
19870112;10174;617;"";"";443
19870112;2206;710;"";"";444
19870112;596;468;569;"";445
19870112;8920;750;"";"";446
19870112;175;511;468;"";447
19870112;200;624;569;"";448
19870112;688;592;1031;"";449
19870112;3158;622;511;"";450
19870112;2279;461;"";"";451
19870112;799;1044;615;"";452
19870112;94;569;468;"";453
19870112;8672;579;609;"";454
19870112;6337;609;"";"";455
19870112;1032;609;620;"";456
19870112;82;375;430;"";457
19870112;191;428;445;"";458
19870112;218;453;"";"";459
19870112;3244;560;569;"";460
19870112;155;453;560;"";461
19870112;38;546;468;"";462
19870112;82;704;"";"";463
19870112;696;484;"";"";464
19870112;15618;444;375;"";465
19870112;877;494;619;"";466
19870112;13767;433;432;1;467
19870112;1208;883;"";1;468
19870112;877;593;609;"";469
19870112;825;388;453;"";470
19870112;3560;573;"";"";471
19870112;1247;573;611;"";472
19870112;1603;1044;"";"";473
19870112;5469;762;"";1;474
19870112;91;453;"";"";475
19870112;2811;"";453;"";476
19870112;5730;569;468;"";477
19870112;688;698;650;"";478
19870112;285;609;"";"";479
19870112;799;987;1044;"";480
19870112;17065;650;"";"";481
19870112;218;711;"";"";482
19870112;1284;579;468;"";483
19870112;582;1044;987;"";484
19870112;73;629;744;"";485
19870112;767;601;"";"";486
19870112;112;609;"";"";487
19870112;73;909;574;"";488
19870112;481;593;"";"";489
19870112;1346;430;428;1;490
19870112;73;829;801;"";491
19870112;5466;444;468;"";492
19870112;342;630;587;1;493
19870112;1979;750;909;"";494
19870112;1415;571;"";"";495
19870112;8651;594;"";"";496
19870112;4852;1056;1056;"";497
19870112;2144;819;"";"";498
19870112;1109;589;605;"";499
19870112;218;569;468;"";500
19870112;42;388;"";"";501
19870112;3013;711;"";"";502
19870112;22340;74;80;"";503
19870112;70;578;481;1;504
19870112;688;717;"";"";505
19870112;714;444;1032;"";506
19870112;17972;503;569;1;507
19870112;1232;"";828;"";508
19870113;16;592;609;"";509
19870113;1265;617;"";"";510
19870113;1978;542;569;"";511
19870113;94;574;"";"";512
19870113;167;953;"";"";513
19870113;688;375;430;"";514
19870113;877;572;574;"";515
19870113;688;445;"";"";516
19870113;42;569;828;"";517
19870113;1258;650;695;"";518
19870113;38;604;1031;"";519
19870113;3473;801;"";"";520
19870113;146;710;"";"";521
19870113;82;569;468;"";522
19870113;176;468;801;"";523
19870113;82;453;235;"";524
19870113;1023;587;528;"";525
19870113;285;710;"";"";526
19870113;3576;139;468;"";527
19870113;155;609;624;"";528
19870113;198;257;569;"";529
19870113;1598;564;569;"";530
19870113;10;"";453;"";531
19870113;168;612;"";"";532
19870113;24;569;556;"";533
19870113;348;898;"";"";534
19870113;8760;1044;885;"";535
19870113;1139;605;"";"";536
19870113;877;574;"";"";537
19870113;76;1013;998;"";538
19870113;688;375;334;"";539
19870113;481;1044;"";"";540
19870113;3347;762;"";1;541
19870113;238;909;625;"";542
19870113;269;667;696;"";543
19870113;877;574;582;"";544
19870113;1856;897;468;"";545
19870113;3;534;"";"";546
19870113;1032;998;"";"";547
19870113;43;453;436;"";548
19870113;95;713;605;"";549
19870113;688;480;569;"";550
19870113;8267;705;"";"";551
19870113;8876;609;"";"";552
19870113;1284;829;"";"";553
19870113;1154;484;479;"";554
19870113;446;762;468;"";555
19870113;262;445;444;"";556
19870113;5653;287;"";"";557
19870113;723;713;"";"";558
19870113;17383;1044;575;"";559
19870113;6236;829;825;"";560
19870113;688;601;468;"";561
19870113;877;574;609;"";562
19870113;155;624;494;"";563
19870113;12976;598;601;"";564
19870113;287;468;"";"";565
19870113;481;987;1044;"";566
19870113;1603;560;"";"";567
19870113;626;444;445;"";568
19870113;208;480;"";"";569
19870113;1344;569;468;"";570
19870113;82;886;"";"";571
19870113;2242;"";"";"";572
19870113;877;574;"";"";573
19870113;5138;468;625;"";574
19870113;777;1056;"";"";575
19870113;10428;453;"";"";576
19870113;73;977;612;"";577
19870113;13458;1044;1056;"";578
19870113;11418;511;606;"";579
