reg_date;point;ssic_1;ssic_2;local;id
19610103;12010;582;542;1;1
19610103;2231;481;"";1;2
19610107;70;569;"";"";3
19610110;2990;760;928;1;4
19610113;21;1056;"";1;5
19610117;2295;1014;"";"";6
19610121;24;116;"";1;7
19610127;295;704;"";1;8
19610128;5067;1056;"";1;9
19610128;1511;763;"";1;10
19610201;1372;813;"";1;11
19610201;1603;489;"";1;12
19610202;59;1056;"";1;13
19610202;2677;236;233;1;14
19610204;1023;903;763;1;15
19610208;982;481;62;1;16
19610208;76;481;"";"";17
19610209;2225;534;569;1;18
19610210;2758;468;"";"";19
19610217;100;544;"";1;20
19610222;2144;154;"";1;21
19610225;358;695;"";1;22
19610302;21;38;"";1;23
19610302;59;191;"";1;24
19610303;33;1056;"";"";25
19610303;29;97;"";"";26
19610303;3347;569;"";"";27
19610303;1784;167;"";"";28
19610304;155;573;569;1;29
19610306;112;569;574;1;30
19610309;43;503;"";1;31
19610311;277;819;815;1;32
19610313;21;1056;"";"";33
19610314;3347;1056;"";1;34
19610323;176;473;"";"";35
19610323;295;1056;"";1;36
19610323;155;1026;"";"";37
19610325;750;569;468;1;38
19610328;21;1056;"";1;39
19610329;2990;803;"";"";40
19610329;10145;1056;"";1;41
19610329;1284;778;"";"";42
19610404;404;569;828;1;43
19610405;181;494;789;1;44
19610407;79;1056;"";1;45
19610410;7979;1056;"";1;46
19610410;10;1056;"";1;47
19610412;1552;1056;"";1;48
19610415;1023;1056;"";1;49
19610417;385;763;"";1;50
19610418;21;489;762;"";51
19610419;59;"";"";1;52
19610422;287;574;569;1;53
19610424;10145;1056;"";1;54
19610426;1023;430;"";1;55
19610502;59;1056;"";1;56
19610503;693;62;"";1;57
19610503;2834;763;"";1;58
19610504;1485;813;"";1;59
19610505;2990;217;560;1;60
19610505;2696;726;"";1;61
19610508;1979;660;"";1;62
19610510;1171;763;569;1;63
19610513;8;828;"";1;64
19610516;561;762;"";1;65
19610517;948;539;"";1;66
19610518;3519;560;763;1;67
19610522;73;794;"";1;68
19610524;3347;1056;"";1;69
19610526;1291;468;"";"";70
19610527;481;762;813;1;71
19610606;19328;569;468;1;73
19610609;2990;569;468;1;74
19610613;29;1056;"";1;75
19610614;21;1056;"";1;76
19610615;3347;62;"";1;77
19610616;29;1056;"";1;78
19610619;21;1056;"";1;79
19610622;10;1056;"";1;80
19610623;295;1056;"";1;81
19610623;1498;555;"";1;82
19610624;295;1056;"";"";83
19610627;21;1056;"";1;84
19610628;287;1056;"";1;85
19610628;1342;699;"";1;86
19610628;2669;97;"";"";87
19610629;7819;1056;"";1;88
19610629;359;488;574;1;89
19610701;15157;569;"";1;90
19610701;8504;813;"";"";91
19610701;21;1056;"";1;92
19610703;59;1056;"";1;93
19610704;3347;1056;"";"";94
19610706;2543;393;388;1;95
19610710;22009;68;"";1;96
19610710;6236;762;"";1;97
19610713;73;1056;"";"";98
19610713;82;44;667;1;99
19610714;59;67;"";"";100
19610714;21;40;569;"";101
19610715;1421;909;"";"";102
19610717;6541;762;"";1;103
19610717;2453;86;"";1;104
19610718;38;1056;"";1;105
19610718;295;1010;"";1;106
19610719;2077;430;555;1;107
19610724;2990;553;561;1;108
19610724;21;858;"";1;109
19610727;2159;762;"";1;110
19610727;1979;699;"";1;111
19610727;295;1056;"";1;112
19610727;7574;1056;"";1;113
19610727;481;815;"";1;114
19610729;59;1056;"";1;115
19610801;33;1056;"";1;116
19610801;18176;376;582;1;117
19610808;82;762;"";1;118
19610809;112;488;909;"";119
19610812;80;562;468;1;120
19610812;6541;582;761;"";121
19610812;3210;765;"";"";122
19610812;29;763;"";1;123
19610814;1342;"";"";1;124
19610814;3129;1056;"";1;125
19610815;5219;1056;"";1;126
19610815;1250;92;"";1;127
19610817;6741;762;"";"";128
19610817;414;344;444;1;129
19610821;19156;946;942;1;130
19610821;79;762;"";1;131
19610822;21;1056;"";1;132
19610822;15421;569;"";1;133
19610825;295;1056;"";"";134
19610830;21;1056;"";"";135
19610830;261;1056;"";1;136
19610831;21;116;"";"";137
19610831;21;1056;"";1;138
19610901;688;762;"";1;139
19610902;21032;676;567;1;140
19610902;1438;583;"";1;141
19610902;1603;1056;"";1;142
19610904;15593;569;574;1;143
19610905;19193;444;"";1;144
19610912;298;1056;"";1;145
19610914;1514;57;481;1;146
19610920;29;194;544;1;147
19610920;3;778;"";1;148
19610920;70;569;"";"";149
19610921;2249;1056;"";1;150
19610921;1284;763;"";1;151
19610922;70;153;418;1;152
19610927;73;506;"";1;153
19611002;799;762;"";1;154
19611003;253;828;574;1;155
19611003;1342;521;"";1;156
19611004;2847;569;"";1;157
19611004;3347;1056;"";"";158
19611005;317;1056;"";1;159
19611006;18176;1039;586;1;160
19611006;59;678;"";1;161
19611009;954;1056;"";1;162
19611009;21;1056;"";1;163
19611011;73;660;660;1;164
19611016;8007;481;"";1;165
19611017;15157;132;468;1;166
19611017;1803;239;"";1;167
19611018;444;10;484;1;168
19611018;1873;36;"";1;169
19611019;2295;1056;"";1;170
19611020;59;1056;"";1;171
19611024;3129;1056;"";1;172
19611025;1598;880;648;1;173
19611025;74;488;95;1;174
19611026;1888;38;"";1;175
19611027;141;815;819;1;176
19611028;1284;819;567;1;177
19611102;8928;869;"";1;178
19611103;8364;762;762;1;179
19611104;22009;763;"";1;180
19611104;2144;763;"";1;181
19611108;295;1056;"";1;182
19611108;234;569;468;1;183
19611113;385;763;"";1;184
19611113;43;569;"";1;185
19611115;19328;762;762;1;186
19611117;9709;762;762;1;187
19611118;155;744;"";1;188
19611120;2029;375;"";1;189
19611123;799;468;"";1;190
19611123;3347;66;"";1;191
19611124;299;763;"";1;192
19611128;21;1056;"";"";193
19611128;4762;388;695;1;194
19611129;688;516;616;1;195
19611130;2839;763;"";1;196
19611205;24;819;"";1;197
19611206;13;1056;"";1;198
19611206;1284;782;"";"";199
19611206;14714;815;"";1;200
19611206;553;478;54;1;201
19611207;2755;813;763;1;202
19611208;1546;1056;"";1;203
19611214;1485;569;"";"";204
19611214;10899;1056;"";1;205
19611215;24;1056;"";1;206
19611215;3465;763;569;1;207
19611218;8181;473;"";1;208
19611222;6937;430;36;1;209
19611222;59;"";"";1;210
19611223;21;1056;"";1;211
19611223;44;430;813;1;212
19611226;6172;678;695;1;213
19611228;1585;762;"";1;214
19611229;948;813;667;1;215
19611229;29;813;"";1;216
19611230;1514;569;"";1;217
19611230;489;1056;"";1;218
