reg_date;point;ssic_1;ssic_2;local;id
19160102;5503;765;"";"";1
19160105;49;67;"";1;3
19160114;2002;10;"";"";4
19160214;287;"";"";"";5
19160215;21;1056;"";1;6
19160216;29;659;"";"";7
19160217;29;473;"";"";8
19160218;3347;569;"";"";9
19160225;29;363;"";"";10
19160226;2990;"";"";"";11
19160227;1342;909;"";"";12
19160228;8741;"";"";"";13
19160301;3244;555;"";"";14
19160302;277;1056;"";"";15
19160302;16974;1056;"";"";16
19160302;982;803;"";"";17
19160304;287;782;778;"";18
19160304;8694;891;"";"";19
19160305;299;1056;"";"";20
19160307;2071;499;"";"";21
19160309;29;10;"";"";22
19160311;370;10;"";"";23
19160313;8364;801;"";"";24
19160313;693;569;"";"";25
19160313;21;1056;"";"";26
19160316;3347;801;"";"";27
19160316;29;605;"";"";28
19160317;21;1056;"";"";29
19160320;6877;569;"";"";30
19160320;1873;569;"";"";31
19160320;370;10;"";"";32
19160320;370;1056;"";"";33
19160320;21;1056;"";"";34
19160321;287;676;"";"";35
19160321;287;676;"";"";36
19160323;21;401;762;"";37
19160323;29;1056;"";"";38
19160328;21;1056;"";"";39
19160404;4223;801;784;"";40
19160406;295;1056;"";"";41
19160412;12397;781;"";"";42
19160416;21;782;"";"";43
19160427;1591;801;"";"";44
19160506;21;1056;"";1;45
19160508;5102;139;"";"";46
19160511;21;1056;"";"";47
19160513;29;803;"";"";48
19160515;3158;10;"";"";49
19160516;29;569;"";"";50
19160524;954;782;"";"";51
19160525;21;846;"";1;52
19160526;6248;569;"";"";53
19160606;287;473;"";"";54
19160608;21;1056;"";1;55
19160614;1591;803;"";"";56
19160616;21;1056;"";1;57
19160623;21;676;"";"";58
19160630;21;1056;"";1;59
19160708;155;782;"";"";60
19160713;262;569;"";"";61
19160713;1346;1056;"";"";62
19160715;1346;1056;"";"";63
19160719;21;1056;"";1;64
19160720;29;1056;"";1;65
19160722;287;10;569;"";66
19160803;287;468;"";"";67
19160810;29;782;"";"";68
19160825;29;116;"";1;69
19160829;21;1056;"";"";70
19160905;14027;782;803;"";71
19160920;21;10;"";1;72
19160929;295;1056;"";1;73
19161010;3601;473;"";"";74
19161018;287;1056;"";"";75
19161106;21;10;"";"";76
19161116;295;1056;"";"";77
19161222;295;10;"";"";78
