reg_date;point;ssic_1;ssic_2;local;id
19320102;4797;762;"";1;1
19320107;6596;762;"";1;2
19320108;1438;569;"";1;3
19320119;4805;968;"";"";4
19320204;21;569;"";"";5
19320213;10;699;"";1;6
19320224;3347;705;"";1;7
19320225;287;1056;"";1;8
19320415;14881;801;"";"";9
19320512;1346;158;"";1;10
19320608;287;1056;"";1;11
19320706;33;631;"";1;12
19320709;409;1056;"";1;13
19320722;21;1056;"";1;14
19320729;21;1056;"";"";15
19320817;1346;763;"";1;16
19320901;21;1056;"";"";17
19320905;3347;574;"";1;18
19320920;88;1014;"";1;19
19321031;1591;"";"";1;20
19321101;295;1056;"";1;21
19321110;1591;762;762;1;22
19321215;370;"";"";1;23
19321216;59;1056;"";"";24
19321217;21;1056;"";1;25
19321223;12;1056;"";"";26
19321230;4797;763;"";1;27
