reg_date;point;ssic_1;ssic_2;local;id
19410107;1284;789;778;"";1
19410118;1346;601;"";"";2
19410124;1803;89;485;1;3
19410129;29;158;"";"";4
19410225;76;444;445;1;5
19410303;155;1056;"";1;6
19410305;3105;486;485;1;7
19410313;29;1056;"";1;8
19410314;21;1056;"";1;9
19410318;3347;567;569;1;10
19410320;693;762;"";1;11
19410320;11547;569;"";1;12
19410321;496;574;489;1;13
19410329;29;1056;"";"";14
19410404;3347;569;468;1;15
19410405;723;909;"";1;16
19410417;2026;622;567;1;17
19410421;74;569;567;1;18
19410426;739;543;881;1;19
19410428;1284;928;"";"";20
19410505;723;909;"";1;21
19410625;38;601;582;1;22
19410627;18100;929;"";"";23
19410711;49;593;574;1;24
19410718;21;1056;"";"";25
19410723;21;1056;"";"";26
19410731;287;1056;"";1;27
19410805;1759;715;"";1;28
19410917;5289;762;"";1;29
19411002;3347;815;762;1;30
19411003;1284;762;"";1;31
19411004;884;139;713;1;32
19411025;47;1056;"";1;33
19411110;799;676;695;1;34
19411112;663;569;"";1;35
19411114;3347;1056;"";1;36
19411120;21;1056;"";1;37
19411121;4552;676;696;1;38
19411122;288;569;"";1;39
19411212;24;1056;"";1;40
19411225;21;1056;"";1;41
