reg_date;point;ssic_1;ssic_2;local;id
19230210;29;715;"";1;1
19230221;21;1056;"";"";2
19230305;49;10;"";1;3
19230405;3347;569;"";1;4
19230421;21;1056;"";1;5
19230501;12;1056;"";1;6
19230504;21;1056;"";1;7
19230523;21;1056;"";1;8
19230528;10;413;"";"";9
19230608;1485;90;485;1;10
19230623;4797;569;"";1;11
19230628;7780;569;"";"";12
19230705;21;1056;"";1;13
19230711;5297;782;805;1;14
19230711;3158;473;"";"";15
19230728;262;503;523;1;16
19230818;3347;230;"";1;17
19230829;21;1056;"";1;18
19230926;29;1056;"";1;19
19231002;21;1056;"";1;20
19231109;8319;605;521;"";21
19231203;3347;1023;"";1;22
19231205;21;1056;"";1;23
19231214;21;1056;"";1;24
