reg_date;point;ssic_1;ssic_2;local;id
19200204;6659;782;778;1;1
19200205;29;1056;"";"";2
19200209;29;1056;"";1;3
19200211;17178;763;"";1;4
19200224;693;40;10;"";5
19200227;1030;763;"";1;6
19200310;5099;762;"";1;7
19200310;155;569;"";1;8
19200316;21;1056;"";"";9
19200325;21;1056;"";"";10
19200423;954;516;"";1;11
19200423;21;10;"";1;12
19200428;295;1056;"";1;13
19200501;21;1056;"";1;14
19200518;295;869;"";1;15
19200522;21;219;"";1;16
19200522;21;473;"";1;17
19200601;21;1039;"";1;18
19200624;21;1056;"";"";19
19200714;21;1056;"";1;20
19200821;4103;569;"";1;21
