reg_date;point;ssic_1;ssic_2;local;id
19500103;845;569;468;1;1
19500103;3347;762;"";1;2
19500103;74;569;390;1;3
19500106;982;488;593;1;4
19500111;739;763;"";1;5
19500125;1346;782;"";"";6
19500126;33;699;704;1;7
19500126;3203;569;542;1;8
19500128;21;516;616;1;9
19500131;13;430;439;1;10
19500203;4108;762;"";1;11
19500208;2531;553;763;1;12
19500216;2144;763;"";1;13
19500222;1485;413;485;1;14
19500228;295;1056;"";1;15
19500301;184;90;485;1;16
19500304;1863;1056;"";1;17
19500304;982;762;569;1;18
19500306;1897;763;"";1;19
19500307;29;1056;"";"";20
19500309;295;1056;"";1;21
19500317;30;763;"";1;22
19500322;43;390;453;1;23
19500325;29;1056;"";1;24
19500329;73;771;"";1;25
19500329;21;1056;"";"";26
19500330;1897;486;581;1;27
19500401;2990;139;141;1;28
19500406;394;569;"";1;29
19500413;295;1056;"";"";30
19500419;8364;678;676;1;31
19500420;2023;81;569;1;32
19500421;21;1056;"";"";33
19500426;982;555;"";1;34
19500427;1372;763;569;1;35
19500427;287;1056;"";1;36
19500511;12;704;"";1;37
19500513;29;10;"";1;38
19500513;29;1056;"";1;39
19500531;175;763;"";1;40
19500609;344;569;"";1;41
19500613;295;1056;"";1;42
19500616;1408;801;"";"";43
19500616;155;803;"";"";44
19500622;2443;430;569;1;45
19500624;982;569;579;1;46
19500627;287;815;"";1;47
19500710;2964;556;569;1;48
19500715;22039;488;593;1;49
19500725;29;569;"";"";50
19500727;982;573;569;1;51
19500729;122;"";"";1;52
19500729;6042;468;569;1;53
19500808;439;582;544;1;54
19500808;175;763;"";1;55
19500816;1284;473;762;1;56
19500823;73;569;556;1;57
19500823;1136;569;468;1;58
19500826;21;1056;"";"";59
19500826;21;1056;"";"";60
19500906;7234;395;620;1;61
19500906;29;715;"";1;62
19500908;20667;1024;"";1;63
19500912;1485;664;"";"";64
19500914;59;45;"";"";65
19500919;82;569;468;1;66
19500930;21;1056;"";1;67
19501003;21;763;"";1;68
19501006;21;1056;"";1;69
19501012;1603;815;"";1;70
19501019;21;1056;"";1;71
19501024;876;1017;"";1;72
19501031;982;762;"";1;73
19501104;29;762;"";1;74
19501107;21;1056;"";"";75
19501124;1611;555;116;1;76
19501129;212;494;619;1;77
19501204;1423;1056;"";1;78
19501206;1979;762;"";1;79
19501207;8470;763;"";1;80
19501209;59;1056;"";1;81
19501209;3158;782;"";1;82
19501209;243;473;468;1;83
19501211;1352;1056;"";1;84
19501214;15395;503;545;1;85
19501216;176;10;473;1;86
19501219;2144;1056;"";1;87
19501220;2144;1056;"";1;88
19501221;1250;569;468;1;89
19501221;1537;1019;1056;1;90
19501221;723;488;569;1;91
19501221;21;523;630;1;92
19501221;29;717;"";1;93
19501227;21;"";"";"";94
19501230;723;1056;"";1;95
19501230;260;328;378;1;96
19501230;21;815;"";1;97
19501230;43;7;625;1;98
19501230;3361;605;607;1;99
