reg_date;point;ssic_1;ssic_2;local;id
19510102;799;81;"";1;1
19510102;96;763;695;1;2
19510102;516;815;"";1;3
19510106;18142;569;439;1;4
19510106;262;455;"";1;5
19510106;6071;1056;"";1;6
19510108;44;813;430;1;7
19510109;13134;763;"";1;8
19510111;175;60;"";"";9
19510113;1023;569;763;1;10
19510210;2443;216;"";"";11
19510212;21;1056;"";1;12
19510213;24;488;"";1;13
19510216;2933;484;"";1;14
19510217;21;1056;"";1;15
19510226;1979;606;"";1;16
19510301;21;1056;"";1;17
19510303;21;1056;"";1;18
19510307;6929;676;"";1;19
19510309;29;571;569;1;20
19510309;4908;587;291;1;21
19510310;1284;1056;"";1;22
19510310;287;1056;"";1;23
19510316;1284;569;468;1;24
19510321;4322;1056;"";1;25
19510329;317;569;"";1;26
19510330;21;1056;"";"";27
19510409;375;"";763;1;28
19510411;1186;1056;"";1;29
19510412;175;569;"";1;30
19510417;11252;1056;"";1;31
19510418;954;762;769;1;32
19510420;1314;1056;"";1;33
19510426;21;1056;"";1;34
19510427;176;813;"";1;35
19510430;5663;569;574;1;36
19510430;2427;1056;"";1;37
19510501;482;699;"";1;38
19510501;2454;1056;"";1;39
19510501;12;1056;"";1;40
19510510;73;762;"";"";41
19510511;982;762;829;1;42
19510518;2990;10;473;1;43
19510521;21;1056;"";1;44
19510525;82;212;"";1;45
19510601;14273;140;"";1;46
19510606;739;763;"";1;47
19510606;24;1056;"";1;48
19510606;2027;1056;"";"";49
19510612;29;1056;"";"";50
19510614;29;1056;"";1;51
19510616;29;1056;"";1;52
19510620;29;676;"";1;53
19510622;2361;1056;"";1;54
19510623;1284;1014;815;1;55
19510626;21;1056;"";1;56
19510627;1284;819;"";1;57
19510627;5959;763;763;1;58
19510628;295;1056;"";1;59
19510703;624;762;813;1;60
19510706;21;1056;"";1;61
19510707;8181;1056;"";1;62
19510707;21;583;"";1;63
19510712;1011;1056;"";1;64
19510713;29;1056;"";1;65
19510717;3542;569;468;"";66
19510718;5548;819;667;1;67
19510718;10;"";"";1;68
19510727;3347;658;815;1;69
19510728;13374;1017;"";"";70
19510730;59;142;"";1;71
19510730;2159;762;"";1;72
19510801;175;763;815;1;73
19510803;317;1056;"";1;74
19510813;5643;484;569;1;75
19510815;175;762;"";1;76
19510818;1603;753;"";"";77
19510821;864;1056;"";1;78
19510821;49;1056;"";1;79
19510821;5204;652;"";"";80
19510831;792;473;468;1;81
19510831;70;569;695;"";82
19510831;299;569;"";1;83
19510901;308;569;"";1;84
19510908;29;1056;"";1;85
19510908;287;598;"";"";86
19510911;3347;484;556;1;87
19510917;2946;488;"";1;88
19510917;29;488;593;1;89
19510917;21;569;"";1;90
19510919;9494;569;468;1;91
19510925;12;1056;"";1;92
19510925;1601;569;"";"";93
19511002;29;1056;"";1;94
19511003;10204;763;"";1;95
19511003;982;569;"";1;96
19511006;2548;619;"";1;97
19511011;73;488;883;1;98
19511011;1893;815;593;1;99
19511013;21;166;"";1;100
19511015;1485;616;574;1;101
19511015;792;1056;"";1;102
19511016;21;1056;"";1;103
19511017;73;569;468;"";104
19511017;21;1056;"";"";105
19511020;723;1056;"";1;106
19511020;38;1024;819;1;107
19511025;15634;721;725;1;108
19511025;73;819;762;1;109
19511026;29;569;468;1;110
19511026;15395;593;10;1;111
19511031;3408;1056;"";1;112
19511031;636;1056;"";1;113
19511101;13119;1056;"";1;114
19511106;3347;762;"";1;115
19511109;1591;762;"";1;116
19511109;21;10;473;1;117
19511114;4108;"";"";1;118
19511115;688;488;"";1;119
19511115;1514;90;639;1;120
19511121;342;296;430;1;121
19511121;688;569;676;1;122
19511122;1171;569;"";1;123
19511124;6042;667;"";1;124
19511126;313;762;813;1;125
19511210;4494;763;"";1;126
19511211;73;763;"";1;127
19511214;21;1056;"";"";128
19511219;287;762;"";1;129
19511228;1485;763;"";1;130
19511229;280;445;444;1;131
19511229;688;815;"";1;132
19511231;70;761;"";1;133
19511231;481;762;10;1;134
