reg_date;point;ssic_1;ssic_2;local;id
19620102;29;1056;"";"";1
19620102;777;1039;586;1;2
19620103;447;678;567;1;3
19620108;70;486;"";"";4
19620108;70;94;486;"";5
19620108;1364;94;486;"";6
19620108;70;486;"";"";7
19620108;70;93;"";"";8
19620108;70;94;"";"";9
19620108;1364;94;486;"";10
19620108;70;94;581;"";11
19620108;1364;94;486;"";12
19620108;70;94;486;"";13
19620110;1023;103;488;1;14
19620110;3408;1056;"";1;15
19620111;29;813;"";1;16
19620112;688;542;544;1;17
19620113;3347;1056;"";1;18
19620115;175;762;"";"";19
19620116;1186;139;858;1;20
19620116;5466;813;"";1;21
19620117;723;40;569;"";22
19620119;2295;1056;"";1;23
19620123;33;1056;"";1;24
19620124;23313;569;"";1;25
19620124;21;1056;"";1;26
19620124;295;1056;"";"";27
19620125;38;769;569;1;28
19620126;1888;1056;"";1;29
19620130;1447;569;"";"";30
19620201;799;516;"";1;31
19620201;1591;1056;"";1;32
19620201;352;479;481;1;33
19620203;22759;763;"";1;34
19620203;13793;763;"";1;35
19620208;1888;1056;"";1;36
19620212;362;569;"";1;37
19620212;287;762;"";1;38
19620213;496;468;569;1;39
19620214;412;815;"";1;40
19620215;9034;1056;"";1;41
19620216;16621;1056;"";1;42
19620219;4290;762;"";1;43
19620226;5099;763;"";1;44
19620226;1;1056;"";1;45
19620227;8;678;658;1;46
19620301;17696;601;592;1;47
19620301;29;1056;"";1;48
19620302;1603;903;553;1;49
19620302;14727;1056;"";1;50
19620303;8529;699;763;1;51
19620309;358;198;"";"";52
19620312;5099;760;"";1;53
19620313;155;762;"";1;54
19620314;1447;167;564;1;55
19620314;5630;1056;"";1;56
19620316;3200;676;567;1;57
19620316;3345;159;"";1;58
19620316;59;1056;"";1;59
19620317;82;516;517;1;60
19620320;1346;762;"";1;61
19620321;261;318;317;1;62
19620322;29;675;"";"";63
19620326;799;"";569;1;64
19620327;6473;504;314;1;65
19620329;1023;762;813;1;66
19620331;215;560;430;1;67
19620402;96;713;858;1;68
19620403;1364;858;"";1;69
19620403;29;678;"";1;70
19620404;1023;569;468;1;71
19620404;21;1056;"";1;72
19620404;21;1056;"";1;73
19620405;1364;486;486;1;74
19620405;3318;1056;"";1;75
19620406;59;1056;"";1;76
19620406;59;1056;"";1;77
19620411;6236;36;652;1;78
19620416;2933;1056;"";1;79
19620416;295;704;709;1;80
19620417;143;1056;"";1;81
19620419;16262;569;"";"";82
19620419;750;771;769;1;83
19620424;1103;715;"";"";84
19620424;948;586;553;1;85
19620424;489;687;"";"";86
19620425;5099;793;"";1;87
19620426;2361;1056;"";1;88
19620426;19257;1056;"";1;89
19620427;59;1056;"";1;90
19620430;155;1056;"";"";91
19620502;812;569;828;1;92
19620502;246;59;482;1;93
19620503;1364;858;"";1;94
19620504;13793;552;"";1;95
19620505;11165;762;762;1;96
19620507;7113;713;"";1;97
19620508;662;569;468;1;98
19620515;1888;968;516;1;99
19620517;21;1056;"";1;100
19620517;3347;1056;"";"";101
19620519;1327;650;667;1;102
19620521;21;339;500;1;103
19620521;295;1056;"";"";104
19620521;21;1056;"";1;105
19620522;7682;"";559;1;106
19620522;3129;1056;"";1;107
19620523;2933;1056;"";1;108
19620524;70;167;486;1;109
19620524;1888;40;"";"";110
19620525;4716;245;534;1;111
19620528;88;569;676;1;112
19620531;317;1056;"";1;113
19620531;1570;763;496;1;114
19620601;2963;1039;542;1;115
19620605;2990;630;"";1;116
19620605;155;664;"";"";117
19620605;33;676;678;1;118
19620606;155;664;"";"";119
19620606;29;1056;"";"";120
19620607;73;488;103;1;121
19620609;73;763;"";1;122
19620611;1364;94;486;"";123
19620611;70;94;"";"";124
19620611;70;94;581;"";125
19620614;9178;762;813;1;126
19620614;34;813;819;1;127
19620616;948;497;"";1;128
19620616;3347;1056;"";"";129
19620618;1346;468;"";1;130
19620618;24;813;819;1;131
19620620;799;116;560;1;132
19620625;688;569;"";1;133
19620627;1342;1056;"";1;134
19620627;21;569;468;"";135
19620628;1888;1056;"";"";136
19620628;29;763;813;1;137
19620628;240;569;"";"";138
19620629;100;1056;"";1;139
19620702;8154;1056;"";1;140
19620703;88;569;"";"";141
19620705;33;1056;"";1;142
19620705;277;36;430;1;143
19620706;10927;909;"";"";144
19620706;21;339;"";1;145
19620706;47;569;"";"";146
19620706;2548;704;"";1;147
19620710;313;815;"";1;148
19620714;6596;762;"";"";149
19620716;445;762;"";"";150
19620724;17178;829;"";1;151
19620725;740;909;"";"";152
19620725;686;98;"";"";153
19620730;29;1056;"";1;154
19620730;723;813;"";1;155
19620730;799;588;1056;1;156
19620801;212;762;815;1;157
19620801;21;495;"";1;158
19620801;1171;574;"";1;159
19620803;59;1056;"";1;160
19620803;2258;762;"";1;161
19620803;799;496;395;1;162
19620807;1979;763;"";"";163
19620808;799;813;"";1;164
19620808;21;569;"";"";165
