reg_date;point;ssic_1;ssic_2;local;id
19480102;21;1056;"";1;1
19480102;59;903;"";1;2
19480103;21;569;574;1;3
19480105;982;494;"";1;4
19480110;688;803;"";"";5
19480110;21;1056;"";"";6
19480110;2568;569;763;1;7
19480115;5548;815;667;1;8
19480116;1689;1056;"";1;9
19480116;2295;569;"";1;10
19480117;29;318;"";"";11
19480124;362;667;85;1;12
19480130;1888;67;"";1;13
19480131;9793;574;667;1;14
19480202;1284;481;"";1;15
19480206;29;1056;"";"";16
19480209;948;676;468;1;17
19480209;1404;763;"";1;18
19480223;3347;473;"";1;19
19480225;17178;763;"";1;20
19480225;29;726;"";"";21
19480226;2990;569;"";1;22
19480226;295;1056;"";1;23
19480227;13160;1056;"";1;24
19480303;1603;753;753;"";25
19480308;1040;36;430;1;26
19480313;688;713;139;1;27
19480318;21;1056;"";1;28
19480325;2;40;"";1;29
19480331;738;90;485;1;30
19480331;175;813;"";1;31
19480331;1284;468;"";1;32
19480401;155;619;"";1;33
19480401;112;1056;"";1;34
19480403;175;903;"";"";35
19480405;82;788;"";"";36
19480407;175;762;"";1;37
19480407;295;38;"";1;38
19480409;29;1056;"";"";39
19480414;2990;763;"";1;40
19480414;21;1056;"";1;41
19480420;1591;468;"";"";42
19480420;234;521;574;1;43
19480503;21;1056;"";1;44
19480512;845;762;"";1;45
19480513;70;1056;"";1;46
19480520;1591;794;"";1;47
19480521;5297;778;"";1;48
19480525;4108;1056;"";1;49
19480525;295;573;"";1;50
19480529;82;762;"";"";51
19480601;21;1056;"";1;52
19480612;482;544;"";1;53
19480614;4797;479;480;1;54
19480614;21;841;"";1;55
19480623;29;805;"";"";56
19480625;2693;209;"";1;57
19480630;73;569;574;1;58
19480702;59;142;"";"";59
19480704;24;1056;"";1;60
19480710;409;116;"";1;61
19480713;4223;569;"";"";62
19480716;33;1056;"";"";63
19480717;175;1056;"";1;64
19480723;9812;569;"";1;65
19480730;5956;567;569;1;66
19480803;21;717;"";1;67
19480810;59;1056;"";"";68
19480811;29;1056;"";1;69
19480814;88;1056;"";1;70
19480819;9709;813;569;1;71
19480826;17466;789;"";"";72
19480901;21;1056;"";"";73
19480909;2305;534;"";1;74
19480911;4532;928;977;1;75
19480923;295;1056;"";"";76
19481002;1485;762;"";1;77
19481008;10;1056;"";1;78
19481015;10;"";816;"";79
19481018;2023;676;762;1;80
19481020;15807;468;"";"";81
19481020;3244;1056;"";1;82
19481026;1346;1056;"";1;83
19481103;59;468;"";"";84
19481105;5808;720;"";1;85
19481109;6565;624;589;1;86
19481112;295;1056;"";"";87
19481119;982;761;"";1;88
19481126;982;1056;"";"";89
19481129;1284;778;"";"";90
19481130;29;1056;"";1;91
19481201;982;829;"";1;92
19481203;103;789;"";"";93
19481209;175;"";"";1;94
19481217;1611;116;555;1;95
19481224;1591;1056;"";1;96
19481228;12577;815;"";1;97
19481229;1023;95;488;1;98
19481230;723;556;534;1;99
19481230;1342;815;"";1;100
19481230;4552;828;569;1;101
19481230;21;1056;"";1;102
19481230;982;569;468;1;103
19481230;2461;1056;"";1;104
19481230;29;1056;"";1;105
19481231;520;118;889;1;106
19481231;799;116;"";1;107
