reg_date;point;ssic_1;ssic_2;local;id
19360103;1284;574;"";"";1
19360109;21;1056;"";1;2
19360128;21;10;"";"";3
19360217;21;1056;"";1;4
19360219;21;38;"";1;5
19360227;29;720;"";1;6
19360306;2990;801;"";1;7
19360421;1023;726;"";"";8
19360519;21;92;"";1;9
19360521;21;667;"";1;10
19360522;3347;"";"";"";11
19360527;287;717;"";1;12
19360528;10;1056;"";1;13
19360617;295;388;499;1;14
19360618;73;726;720;1;15
19360710;155;763;763;1;16
19360714;21;1056;"";1;17
19360821;1591;10;763;1;18
19360822;94;520;"";1;19
19361031;21;1056;"";1;20
19361105;295;1056;"";"";21
19361201;21;1056;"";1;22
19361202;5503;592;"";"";23
19361207;5503;909;"";"";24
19361219;1308;676;904;1;25
19361224;5514;1056;"";1;26
19361230;21;1056;"";"";27
19361231;21;1056;"";"";28
