reg_date;point;ssic_1;ssic_2;local;id
19170104;29;473;"";1;1
19170111;29;462;"";1;2
19170115;59;"";"";1;3
19170320;33;1056;"";"";4
19170403;29;1056;"";1;5
19170606;10;805;"";1;6
19170608;287;815;"";1;7
19170611;155;815;762;1;8
19170618;21;10;"";1;9
19170815;3244;473;"";1;10
19170818;21;10;"";1;11
19170820;1346;778;805;"";12
19170907;2306;569;"";1;13
19171001;287;191;"";1;14
19171020;295;1056;"";1;15
19171022;21;191;"";1;16
19171115;21;10;"";1;17
19171116;3347;569;"";1;18
19171116;33;1056;"";1;19
19171123;29;1056;"";1;20
19171206;17462;473;"";1;21
