reg_date;point;ssic_1;ssic_2;local;id
19310213;1284;846;"";1;1
19310402;1346;1056;"";1;2
19310409;693;486;"";1;3
19310410;21;147;"";1;4
19310414;1803;762;928;1;5
19310421;298;569;"";1;6
19310518;693;486;"";1;7
19310608;22009;762;"";1;8
19310709;82;676;695;1;9
19310714;21;"";"";1;10
19310725;21;1056;"";"";11
19310730;884;699;"";1;12
19310806;21;1056;"";1;13
19310814;2231;761;"";1;14
19310826;73;491;"";1;15
19310915;21;1056;"";1;16
19310919;29;1056;"";"";17
19311029;2115;815;444;1;18
19311209;1591;928;763;1;19
19311209;1591;763;50;1;20
19311211;799;762;"";1;21
19311219;29;782;"";"";22
19311228;21;1056;"";1;23
19311231;21;1056;"";1;24
