reg_date;point;ssic_1;ssic_2;local;id
19220107;21;1056;"";1;1
19220327;5223;1028;"";1;2
19220330;29;909;"";1;3
19220522;982;782;"";"";4
19220527;21;815;"";1;5
19220614;60;1056;"";1;6
19220615;13793;813;"";1;7
19220615;21;846;"";1;8
19220715;1023;909;"";1;9
19220812;29;813;"";1;10
19220814;21;815;"";1;11
19220814;172;1056;"";1;12
19220821;29;1056;"";"";13
19220828;21;1056;"";1;14
19220829;295;1056;"";1;15
19220901;313;472;569;"";16
19220906;16262;473;"";1;17
19220927;3347;909;"";1;18
19221109;8;546;612;1;19
19221227;1346;569;"";1;20
19221227;155;36;"";1;21
