reg_date;point;ssic_1;ssic_2;local;id
19260120;29;815;"";1;1
19260216;21;10;"";"";2
19260303;21;1056;"";1;3
19260318;3347;542;"";1;4
19260322;29;583;"";1;5
19260322;21;1056;"";1;6
19260408;29;1056;"";"";7
19260408;3158;569;"";"";8
19260416;3347;1023;"";1;9
19260430;295;1056;"";1;10
19260504;3347;763;"";1;11
19260504;21;10;"";1;12
19260510;14576;736;"";"";13
19260515;287;805;"";"";14
19260517;21;1056;"";1;15
19260601;287;1056;"";1;16
19260610;21;10;"";1;17
19260616;21;1056;"";1;18
19260618;1346;1056;"";1;19
19260622;4797;829;"";1;20
19260625;1591;534;"";1;21
19260715;29;569;"";"";22
19260722;3347;713;"";1;23
19260803;29;1056;"";1;24
19260813;1322;909;"";1;25
19260816;287;10;"";1;26
19260818;295;1056;"";1;27
19260824;155;1056;"";1;28
19260825;21;1056;"";1;29
19260828;3347;160;"";1;30
19260909;21;1056;"";"";31
19260922;21;1056;"";1;32
19260923;21;1056;"";1;33
19261014;21;"";"";1;34
19261018;21;38;"";1;35
19261025;29;473;"";"";36
19261109;5099;542;"";1;37
19261112;287;1056;"";1;38
19261130;3569;582;613;1;39
19261130;14415;582;583;1;40
19261214;21;1056;"";"";41
19261222;287;473;"";1;42
19261223;21;191;"";1;43
19261231;21;1056;"";"";44
