reg_date;point;ssic_1;ssic_2;local;id
19470102;2503;699;"";1;1
19470104;1372;699;704;1;2
19470108;1485;570;516;1;3
19470110;3105;762;819;1;4
19470110;1862;819;762;1;5
19470110;287;1056;"";1;6
19470117;82;489;488;1;7
19470120;10526;302;569;1;8
19470120;29;1056;"";1;9
19470124;59;1056;"";"";10
19470125;29;"";"";"";11
19470125;2990;616;"";"";12
19470129;1591;763;"";1;13
19470129;17178;763;915;1;14
19470130;82;763;829;1;15
19470131;287;1056;"";1;16
19470201;10986;569;"";1;17
19470206;19744;696;"";1;18
19470213;21;1056;"";1;19
19470215;1689;569;"";1;20
19470217;5511;584;"";"";21
19470219;21;1056;"";1;22
19470219;287;791;"";1;23
19470224;29;1056;"";1;24
19470228;4223;720;"";1;25
19470306;29;662;"";1;26
19470310;295;1056;"";"";27
19470312;17466;763;"";1;28
19470313;21;1056;"";1;29
19470315;1408;569;"";1;30
19470315;1649;188;"";1;31
19470320;82;200;569;1;32
19470325;2847;430;"";1;33
19470326;5466;430;555;1;34
19470401;295;1056;"";1;35
19470402;1570;88;89;1;36
19470402;21;819;"";"";37
19470403;299;1056;"";1;38
19470403;155;473;569;1;39
19470403;299;1056;"";1;40
19470411;1247;903;676;1;41
19470411;1284;569;163;1;42
19470414;864;699;704;1;43
19470415;2453;1056;"";1;44
19470415;12;1056;"";"";45
19470417;175;762;"";1;46
19470418;82;858;"";1;47
19470422;1590;720;"";1;48
19470426;21;1056;"";1;49
19470429;1591;763;"";1;50
19470501;1023;191;569;1;51
19470503;287;801;"";"";52
19470505;21;1056;"";"";53
19470506;155;138;"";1;54
19470506;12;1056;"";1;55
19470507;10;715;"";1;56
19470512;21;430;439;1;57
19470512;175;762;"";1;58
19470514;1258;473;"";"";59
19470514;287;494;"";1;60
19470524;496;92;60;1;61
19470527;6529;569;"";1;62
19470527;10;1056;"";"";63
19470528;29;713;"";1;64
19470529;4783;569;763;1;65
19470605;29;569;"";"";66
19470606;29;1056;"";"";67
19470606;82;829;569;1;68
19470607;29;909;"";1;69
19470609;14727;648;"";"";70
19470610;1591;191;763;1;71
19470610;1591;763;"";1;72
19470610;29;1056;"";1;73
19470614;21;841;"";1;74
19470616;10;1056;"";1;75
19470619;1591;763;"";1;76
19470619;1591;763;"";1;77
19470624;799;557;"";1;78
19470625;792;569;511;1;79
19470626;6264;569;561;1;80
19470628;3519;430;"";1;81
19470630;7051;1042;"";"";82
19470701;122;1056;"";"";83
19470707;21;569;"";"";84
19470710;5102;574;813;1;85
19470724;287;782;"";"";86
19470725;21;1056;"";1;87
19470807;1723;648;819;1;88
19470807;184;36;"";1;89
19470807;2990;704;"";1;90
19470808;5511;695;667;1;91
19470809;723;569;"";"";92
19470811;4399;909;"";1;93
19470812;29;678;"";1;94
19470816;3347;762;"";1;95
19470821;21;1056;"";1;96
19470821;29;1056;"";1;97
19470821;29;1056;"";"";98
19470825;21;1056;"";"";99
19470826;2649;977;"";1;100
19470826;261;1056;"";1;101
19470827;29;1056;"";1;102
19470828;82;762;"";1;103
19470829;73;569;"";"";104
19470901;7863;676;695;1;105
19470901;21;1056;"";1;106
19470904;21;1056;"";"";107
19470904;33;1056;"";"";108
19470908;21;1056;"";1;109
19470909;287;430;"";1;110
19470909;5099;763;"";1;111
19470911;5503;569;"";"";112
19470912;287;569;"";1;113
19470923;1873;143;"";1;114
19470926;261;1056;"";"";115
19470927;20933;569;"";1;116
19470929;122;1056;"";1;117
19470930;22009;699;763;1;118
19471001;799;1056;"";1;119
19471001;317;1056;"";1;120
19471002;287;"";762;1;121
19471015;21;1056;"";"";122
19471016;2756;762;"";1;123
19471018;33;1056;"";"";124
19471021;21;1056;"";1;125
19471022;5099;"";"";1;126
19471028;287;903;"";1;127
19471031;323;733;"";1;128
19471101;688;116;"";1;129
19471103;10;717;"";1;130
19471103;1284;782;"";"";131
19471110;1342;1056;"";1;132
19471112;59;659;"";"";133
19471114;21;1056;"";1;134
19471114;693;1056;"";1;135
19471114;4797;534;379;1;136
19471117;175;"";"";1;137
19471122;2002;569;574;1;138
19471125;262;1056;"";"";139
19471126;693;569;574;1;140
19471202;59;1056;"";"";141
19471202;299;116;"";1;142
19471202;1284;763;"";1;143
19471203;234;616;516;1;144
19471203;5099;36;430;1;145
19471205;21;1056;"";"";146
19471206;21;1056;"";1;147
19471211;693;763;569;1;148
19471211;12397;488;"";1;149
19471215;238;473;"";1;150
19471215;1511;815;"";1;151
19471215;777;678;695;1;152
19471216;1485;1056;"";1;153
19471217;4108;"";"";1;154
19471219;21;1056;"";"";155
19471219;846;569;468;1;156
19471222;1168;516;578;1;157
19471222;295;813;"";1;158
