reg_date;point;ssic_1;ssic_2;local;id
19660103;21;1056;"";"";1
19660103;22009;1042;"";1;2
19660103;1570;569;"";1;3
19660103;982;534;533;1;4
19660104;5466;564;468;1;5
19660104;825;430;223;1;6
19660104;1171;593;864;1;7
19660105;5387;678;893;1;8
19660105;2758;209;"";1;9
19660106;19154;569;468;"";10
19660106;13842;580;762;1;11
19660107;2990;763;"";1;12
19660107;73;903;695;1;13
19660107;155;303;523;"";14
19660108;6565;573;"";1;15
19660110;4108;1056;"";1;16
19660112;11929;715;605;1;17
19660112;21;1056;"";"";18
19660113;5102;813;819;1;19
19660114;29;569;"";1;20
19660114;59;430;"";1;21
19660114;1032;375;220;1;22
19660115;161;1056;"";1;23
19660115;799;534;468;1;24
19660117;1342;569;574;1;25
19660118;3601;1056;"";"";26
19660118;43;167;"";1;27
19660119;6541;1056;"";"";28
19660119;1485;516;188;1;29
19660119;5099;516;497;1;30
19660120;20452;571;"";"";31
19660120;19154;534;"";1;32
19660127;43;262;"";1;33
19660127;212;523;95;"";34
19660127;15155;210;143;1;35
19660127;11006;990;1002;1;36
19660128;21;1056;"";"";37
19660128;447;762;813;1;38
19660128;1311;1056;"";1;39
19660128;12397;1056;"";"";40
19660129;12397;813;828;1;41
19660129;161;139;520;1;42
19660129;161;858;"";1;43
19660129;16933;"";"";1;44
19660131;3251;497;"";1;45
19660201;982;534;"";1;46
19660202;82;658;"";1;47
19660205;799;430;845;1;48
19660205;15752;903;"";1;49
19660205;1023;147;398;1;50
19660207;5204;1056;"";"";51
19660207;4762;468;813;1;52
19660207;12;1056;"";1;53
19660208;155;540;"";"";54
19660209;6324;829;"";1;55
19660209;1171;517;617;1;56
19660211;1258;858;"";1;57
19660212;6236;375;569;1;58
19660214;481;430;538;1;59
19660216;1171;760;"";1;60
19660216;2377;763;"";1;61
19660216;298;1056;"";1;62
19660218;3347;430;"";1;63
19660218;8851;644;"";"";64
19660219;168;769;"";1;65
19660221;3318;68;"";1;66
19660221;5409;928;597;1;67
19660221;359;520;132;1;68
19660222;1346;569;468;"";69
19660222;2426;1056;"";1;70
19660222;688;520;605;1;71
19660223;2443;762;"";1;72
19660224;1030;763;"";1;73
19660224;5514;555;"";"";74
19660224;13219;909;"";1;75
19660225;21;769;"";1;76
19660225;29;1056;"";1;77
19660228;17178;434;763;1;78
19660228;261;1056;"";"";79
19660228;982;762;"";1;80
19660301;14254;828;569;1;81
19660301;1963;569;"";1;82
19660301;198;569;"";1;83
19660302;59;430;841;1;84
19660302;1873;191;"";1;85
19660302;202;815;375;1;86
19660303;1603;203;208;1;87
19660304;777;819;"";1;88
19660304;777;569;468;1;89
19660304;73;763;"";1;90
19660305;4019;389;695;1;91
19660305;8;461;375;1;92
19660305;161;1056;"";1;93
19660305;82;1056;"";1;94
19660305;1603;763;569;1;95
19660305;161;1056;"";1;96
19660309;502;106;489;1;97
19660310;3347;1056;"";1;98
19660312;622;762;813;1;99
19660312;1603;430;439;"";100
19660314;2159;569;760;1;101
19660315;33;362;"";"";102
19660315;965;430;828;1;103
19660318;317;903;"";1;104
19660318;21;1056;"";1;105
19660318;1342;569;468;1;106
19660319;13429;569;468;1;107
19660319;1284;567;388;1;108
19660319;29;1056;"";1;109
19660321;21;1056;"";1;110
19660322;82;762;468;1;111
19660322;1591;928;"";1;112
19660322;385;763;"";1;113
19660322;1346;1056;"";1;114
19660326;287;516;616;1;115
19660326;16420;695;650;1;116
19660328;287;1056;"";1;117
19660328;688;794;"";1;118
19660329;287;1056;"";1;119
