reg_date;point;ssic_1;ssic_2;local;id
19680106;777;881;"";1;1
19680109;3244;1056;"";1;2
19680112;295;630;"";1;3
19680112;342;103;"";1;4
19680116;1186;569;"";1;5
19680116;695;569;555;1;6
19680118;3361;771;801;1;7
19680118;29;1056;"";1;8
19680125;2323;763;"";1;9
19680126;2029;389;"";"";10
19680201;3042;828;"";1;11
19680203;2044;468;569;1;12
19680203;362;569;468;1;13
19680203;409;1056;"";1;14
19680207;49;1056;"";1;15
19680207;13842;503;569;1;16
19680208;2568;484;80;1;17
19680208;948;569;468;1;18
19680209;10;430;"";1;19
19680209;3175;676;661;1;20
19680209;29;1056;"";1;21
19680210;21;102;"";1;22
19680210;799;54;56;1;23
19680210;1171;511;569;1;24
19680213;243;430;"";1;25
19680214;82;133;"";1;26
19680215;21;176;"";1;27
19680215;1023;762;"";1;28
19680215;18544;699;"";1;29
19680216;73;115;"";1;30
19680216;21;674;"";1;31
19680216;38;676;"";1;32
19680217;29;1056;"";"";33
19680217;29;1056;"";1;34
19680219;8658;569;468;1;35
19680220;2556;651;652;1;36
19680221;29;"";784;1;37
19680222;2765;667;763;1;38
19680223;9793;815;763;1;39
19680223;636;196;"";1;40
19680223;7780;1056;"";1;41
19680223;1284;928;468;1;42
19680224;22479;1056;"";1;43
19680224;799;555;521;1;44
19680226;112;569;"";1;45
19680227;8364;567;676;1;46
19680227;342;704;484;1;47
19680227;242;667;"";1;48
19680227;982;676;468;1;49
19680228;799;819;468;1;50
19680228;33;375;841;1;51
19680228;520;1056;"";1;52
19680228;21;569;"";"";53
19680229;9216;762;569;1;54
19680229;6099;430;375;1;55
19680302;1023;473;468;1;56
19680302;197;569;468;1;57
19680304;6149;1056;"";1;58
19680305;21;481;"";1;59
19680305;13;418;"";"";60
19680306;73;569;468;1;61
19680307;8741;767;777;"";62
19680307;3105;763;"";1;63
19680307;688;569;468;1;64
19680307;688;516;188;1;65
19680307;12898;763;762;1;66
19680307;10;740;747;1;67
19680308;184;116;"";1;68
19680308;2321;1056;"";1;69
19680311;10202;395;"";1;70
19680312;287;648;"";1;71
19680313;21;762;813;1;72
19680314;73;699;"";1;73
19680314;103;699;"";1;74
19680315;1717;1056;"";1;75
19680315;155;1056;"";1;76
19680315;3347;388;569;"";77
19680316;524;567;"";1;78
19680316;6541;95;713;1;79
19680316;73;569;468;1;80
19680316;29;813;"";1;81
19680319;13;503;601;1;82
19680319;3244;567;676;1;83
19680319;1040;569;468;1;84
19680320;13767;457;452;1;85
19680320;4117;43;484;1;86
19680320;799;829;"";1;87
19680321;262;388;569;1;88
19680321;295;468;"";1;89
19680321;212;1056;"";1;90
19680322;2077;375;"";1;91
19680323;1291;977;"";1;92
19680323;13879;1056;"";1;93
19680323;1873;829;"";1;94
19680325;175;1056;"";1;95
19680325;706;413;"";1;96
19680326;1250;577;"";1;97
19680327;1342;569;468;1;98
19680327;2004;1056;"";1;99
19680329;7029;762;"";1;100
19680329;1258;1056;"";1;101
19680330;3399;569;430;1;102
19680330;33;484;"";1;103
19680401;1603;569;"";1;104
19680401;21;1056;"";1;105
19680401;348;609;"";1;106
19680402;5102;763;"";1;107
19680402;2781;468;"";1;108
19680402;5034;569;468;1;109
19680403;647;569;468;1;110
19680403;638;762;813;1;111
19680403;2377;763;"";1;112
19680403;14187;829;"";1;113
19680404;10443;513;"";1;114
19680404;1032;1056;"";1;115
19680405;1284;203;"";1;116
19680405;982;502;503;1;117
19680405;295;1056;"";1;118
19680405;91;704;"";1;119
19680405;6170;561;828;1;120
19680406;59;1056;"";1;121
19680408;22759;762;"";1;122
19680408;1913;763;695;1;123
19680409;29;485;835;1;124
19680409;220;762;"";1;125
19680410;1603;676;"";1;126
19680410;1671;208;553;1;127
19680411;295;1056;"";1;128
19680411;1228;534;539;1;129
19680411;516;216;"";1;130
19680411;5266;521;520;1;131
19680416;10;1056;"";"";132
19680416;168;33;"";1;133
19680416;6771;650;676;1;134
19680417;155;1056;"";1;135
19680417;29;1023;"";1;136
19680417;155;909;"";"";137
19680418;2990;569;468;"";138
19680418;1621;248;"";1;139
19680420;723;569;961;1;140
19680420;82;360;"";1;141
19680420;1372;195;195;1;142
19680420;3347;1056;"";1;143
19680420;409;1056;"";1;144
19680420;5798;201;203;1;145
19680420;82;550;"";1;146
19680422;287;1056;"";1;147
19680422;38;678;"";1;148
19680423;2323;699;"";1;149
19680424;2454;551;750;1;150
19680424;12;91;90;1;151
19680425;1023;388;389;1;152
19680425;10156;763;"";1;153
19680426;1888;1056;"";1;154
19680426;5466;676;569;1;155
19680426;8002;481;579;1;156
19680427;43;99;"";1;157
19680427;664;762;"";1;158
19680427;2568;569;"";1;159
19680427;1097;762;"";1;160
19680429;82;762;115;1;161
19680429;2677;310;538;1;162
19680430;59;1056;"";1;163
19680430;723;375;841;1;164
19680430;82;569;"";1;165
19680430;688;430;819;1;166
19680430;21;841;"";1;167
19680430;29;1056;"";1;168
19680430;935;1056;"";1;169
19680502;70;762;"";1;170
19680502;29;1056;"";1;171
19680504;1284;699;68;1;172
19680507;295;569;468;1;173
19680507;1603;762;813;1;174
19680507;925;379;428;1;175
19680507;1186;1056;"";1;176
19680507;688;569;828;1;177
19680508;2099;287;551;1;178
19680508;43;233;430;1;179
19680508;1888;395;619;1;180
19680509;1873;825;"";"";181
19680510;1007;129;428;1;182
19680510;44;188;"";1;183
19680513;29;595;"";1;184
19680513;11422;1056;"";1;185
19680515;15157;903;"";1;186
19680515;185;1056;"";1;187
19680515;3347;167;"";1;188
19680516;12;676;"";1;189
19680518;1372;441;461;1;190
19680520;2171;1056;"";1;191
19680521;6427;139;605;1;192
19680521;414;407;"";1;193
19680522;8895;569;468;1;194
19680522;38;85;"";1;195
19680523;1023;1004;"";1;196
19680527;1342;480;481;1;197
19680527;17352;828;"";1;198
19680527;21;191;"";1;199
19680527;15668;569;"";1;200
19680528;3042;444;841;1;201
19680528;1109;569;468;1;202
19680529;298;903;"";1;203
19680529;2990;858;"";"";204
19680530;13470;467;"";1;205
19680530;287;488;569;1;206
19680530;29;462;"";1;207
19680530;1284;473;"";1;208
19680530;73;822;"";1;209
19680530;261;569;468;1;210
19680531;1218;1056;"";1;211
19680531;295;1056;"";1;212
19680531;9633;928;"";1;213
19680531;8213;73;484;1;214
19680531;624;762;815;1;215
19680601;21;1056;"";1;216
19680601;29;928;"";1;217
19680601;261;1056;"";1;218
19680601;4797;762;"";1;219
19680601;298;574;"";1;220
19680604;1095;430;"";1;221
19680604;2990;704;"";1;222
19680605;5219;374;"";1;223
19680605;1689;1056;"";1;224
19680607;11417;569;468;1;225
19680607;13834;564;569;1;226
19680607;1186;1056;"";1;227
19680607;295;234;236;1;228
19680610;1074;1011;704;1;229
19680610;287;597;"";1;230
19680610;3082;422;844;1;231
19680611;13;1056;"";1;232
19680611;1258;1056;"";1;233
19680612;965;534;468;1;234
19680612;21;1056;"";1;235
19680613;6958;699;"";1;236
19680614;82;430;453;1;237
19680617;1979;762;"";1;238
19680617;4105;569;"";1;239
19680617;103;699;763;1;240
19680617;29;763;"";1;241
19680617;21;1056;"";1;242
19680619;2990;763;"";1;243
19680619;3627;543;"";1;244
19680619;100;323;569;1;245
19680619;16013;762;"";1;246
19680619;799;569;"";1;247
19680619;8295;"";"";1;248
19680620;2015;561;564;1;249
19680620;82;569;"";1;250
19680620;73;102;"";1;251
19680621;1897;430;"";1;252
19680621;74;208;553;1;253
19680621;2295;1056;"";1;254
19680622;12;841;444;1;255
19680624;192;553;"";"";256
19680625;299;430;"";1;257
19680625;44;1056;"";1;258
19680626;22225;473;"";1;259
19680626;6248;970;"";"";260
19680627;12300;585;534;1;261
19680627;79;542;543;1;262
19680628;3315;49;481;1;263
19680628;723;95;488;1;264
19680628;688;569;"";1;265
19680628;13793;763;"";1;266
19680628;6565;1056;"";1;267
19680629;3347;569;"";"";268
19680629;1752;468;510;1;269
19680629;767;569;"";1;270
19680629;799;676;569;1;271
19680629;910;569;"";"";272
19680701;1530;667;"";1;273
19680701;6195;1056;"";1;274
19680702;1192;484;"";1;275
19680702;344;569;828;1;276
19680703;70;1056;569;1;277
19680704;2990;134;"";"";278
19680704;1888;488;624;1;279
19680705;295;430;"";1;280
19680705;1;1056;"";1;281
19680705;33;1056;"";1;282
19680706;460;1056;"";1;283
19680706;1023;569;"";1;284
19680706;3614;1056;"";"";285
19680706;799;220;557;1;286
19680706;76;858;835;1;287
19680708;2990;"";763;1;288
19680708;260;569;828;1;289
19680709;43;229;"";1;290
19680709;82;430;"";1;291
19680710;688;413;600;1;292
19680710;5102;50;484;1;293
19680710;1603;555;468;1;294
19680711;13833;763;"";1;295
19680711;4023;699;"";1;296
19680711;29;769;"";1;297
19680711;636;1056;"";1;298
19680711;6236;1056;"";1;299
19680712;688;95;488;1;300
19680712;299;595;"";1;301
19680712;5099;928;"";1;302
19680712;287;569;"";1;303
19680713;163;221;"";"";304
19680716;6236;1056;"";1;305
19680716;8741;"";"";1;306
19680717;261;569;"";1;307
19680717;688;762;"";"";308
19680719;7417;1056;"";1;309
19680719;2933;1056;"";1;310
19680719;1284;699;"";1;311
19680720;4762;660;"";1;312
19680720;13793;150;152;1;313
19680720;954;763;"";1;314
19680722;723;569;468;1;315
19680722;1032;819;"";1;316
19680722;10;555;"";1;317
19680723;1154;195;"";1;318
19680723;1509;1056;"";1;319
19680724;29;763;"";1;321
19680724;3082;762;"";1;322
19680725;664;771;763;1;323
19680725;29;1056;"";1;324
19680725;1023;389;"";1;325
19680725;16355;769;"";1;326
19680726;42;324;"";1;327
19680726;5250;1056;"";1;328
19680727;29;1056;"";1;329
19680727;3244;488;468;1;330
19680727;1888;1056;"";1;331
19680727;29;116;"";1;332
19680727;73;106;569;1;333
19680727;688;762;"";1;334
19680729;799;439;"";1;335
19680730;799;569;"";1;336
19680730;29;62;"";1;337
19680730;7073;569;468;1;338
19680731;799;388;468;1;339
19680731;43;139;"";1;340
19680801;11864;569;"";1;341
19680801;21;410;"";1;342
19680802;359;928;291;1;343
19680802;141;569;"";1;344
19680802;155;496;"";1;345
19680802;7863;119;"";1;346
19680802;29;569;468;1;347
19680802;768;1056;"";1;348
19680803;29;762;"";1;349
19680803;799;835;"";1;350
19680803;13793;763;"";1;351
19680805;2023;121;"";1;352
19680807;1023;762;"";1;353
19680807;3345;389;"";1;354
19680807;13870;841;"";1;355
19680808;155;60;68;1;356
19680810;1284;841;444;1;357
19680813;4508;760;"";1;358
19680813;234;494;569;1;359
19680813;73;569;542;1;360
19680814;8097;699;"";1;361
19680816;2144;1056;"";1;362
19680816;21;1056;"";1;363
19680817;22009;763;"";1;364
19680817;982;430;"";1;365
19680817;49;555;"";1;366
19680817;1287;542;769;1;367
19680819;295;1056;"";1;368
19680820;991;444;"";1;369
19680820;1527;1056;"";1;370
19680820;6042;555;"";1;371
19680821;370;1056;"";1;372
19680821;323;35;"";1;373
19680821;30;713;"";1;374
19680822;295;762;"";1;375
19680823;3347;841;439;1;376
