reg_date;point;ssic_1;ssic_2;local;id
19590102;1979;762;"";1;1
19590102;8460;1056;"";1;2
19590103;317;569;"";1;3
19590105;359;569;468;1;4
19590105;42;770;"";1;5
19590109;1689;1056;"";1;6
19590112;21;763;"";1;7
19590114;59;38;"";1;8
19590116;664;647;650;1;9
19590120;295;569;"";"";10
19590122;5102;569;"";1;11
19590122;12915;1056;"";1;12
19590123;29;762;"";"";13
19590126;29;1056;"";1;14
19590127;122;116;"";1;15
19590127;175;813;"";1;16
19590128;799;667;"";1;17
19590129;73;726;"";1;18
19590129;1591;763;"";1;19
19590131;29;1056;"";1;20
19590206;13155;928;"";1;21
19590206;982;1011;699;1;22
19590206;3347;486;"";1;23
19590206;10;1056;"";1;24
19590207;693;567;569;1;25
19590207;29;762;"";"";26
19590211;1787;481;574;1;27
19590213;7589;763;"";1;28
19590214;11765;1056;"";1;29
19590216;994;858;"";1;30
19590216;15094;815;"";1;31
19590216;21;1056;"";"";32
19590218;7979;1056;"";1;33
19590219;15094;569;468;1;34
19590219;948;191;192;1;35
19590220;79;1056;"";1;36
19590221;7037;191;"";"";37
19590221;29;468;"";"";38
19590223;24;1056;"";1;39
19590224;10;1056;"";1;40
19590227;96;468;"";"";41
19590305;3244;909;"";"";42
19590310;242;507;607;1;43
19590310;419;1056;"";"";44
19590313;6541;904;"";1;45
19590313;21;678;"";1;46
19590314;8266;1056;"";1;47
19590316;5322;488;"";1;48
19590318;730;1056;"";1;49
19590320;29;1056;"";1;50
19590320;1095;761;"";1;51
19590321;21;1056;"";1;52
19590321;1342;201;203;1;53
19590323;5511;605;"";1;54
19590324;4375;968;"";1;55
19590326;21;1056;"";1;56
19590326;1186;1056;"";1;57
19590331;4392;546;539;1;58
19590331;1603;813;762;1;59
19590331;1873;1056;"";1;60
19590401;414;762;1056;1;61
19590402;1171;605;521;1;62
19590406;4552;569;468;1;63
19590406;1284;762;813;1;64
19590406;4098;763;815;1;65
19590407;1365;503;569;1;66
19590410;10;40;"";"";67
19590414;1603;676;695;1;68
19590414;688;858;139;1;69
19590415;29;1056;"";1;70
19590417;73;1021;1028;1;71
19590417;1258;569;"";"";72
19590420;10725;762;762;1;73
19590420;3601;569;"";"";74
19590422;253;1056;"";1;75
19590428;1591;763;"";1;76
19590430;212;762;"";1;77
19590430;1766;488;593;1;78
19590501;11854;544;584;1;79
19590506;1888;607;"";"";80
19590506;1284;762;813;1;81
19590512;49;1056;"";1;82
19590513;693;516;485;1;83
19590515;1978;556;"";1;84
19590515;4762;"";"";"";85
19590516;1888;1056;"";1;86
19590519;940;444;375;1;87
19590520;13773;430;163;1;88
19590520;3821;903;"";1;89
19590521;688;516;"";1;90
19590527;287;762;761;1;91
19590528;10;1056;"";"";92
19590529;21;1056;"";"";93
19590529;1684;569;"";1;94
19590602;21;1056;"";1;95
19590604;664;616;"";1;96
19590612;18308;788;"";"";97
19590615;13776;569;468;1;98
19590620;21;1056;"";"";99
19590623;2329;763;"";1;100
19590624;7321;726;"";1;101
