reg_date;point;ssic_1;ssic_2;local;id
19840103;1514;300;"";1;1
19840103;5076;611;"";"";2
19840103;615;633;624;"";3
19840103;155;625;1056;"";4
19840103;82;836;864;1;5
19840103;82;445;897;"";6
19840103;987;899;468;"";7
19840103;481;569;468;1;8
19840103;82;503;520;"";9
19840103;70;705;615;"";10
19840103;175;624;579;"";11
19840103;344;484;507;"";12
19840103;3192;484;489;"";13
19840103;73;593;488;"";14
19840103;37;484;"";"";15
19840103;1596;430;453;"";16
19840103;481;705;"";"";17
19840103;1603;958;625;"";18
19840103;4541;579;579;"";19
19840103;2280;389;375;"";20
19840103;2159;413;"";"";21
19840103;13413;556;468;"";22
19840103;20798;430;595;"";23
19840103;82;430;375;1;24
19840103;79;556;375;"";25
19840103;242;556;334;"";26
19840103;308;698;"";"";27
19840103;344;569;"";"";28
19840103;183;571;"";"";29
19840103;16;573;"";"";30
19840104;3767;494;619;1;31
19840104;630;296;828;1;32
19840104;688;841;"";"";33
19840104;6192;315;1039;"";34
19840104;16242;"";909;"";35
19840104;73;710;"";"";36
19840104;409;375;556;"";37
19840104;73;"";"";"";38
19840104;688;605;139;"";39
19840104;3438;909;461;"";40
19840104;43;1058;"";"";41
19840104;175;569;361;1;42
19840104;987;430;"";"";43
19840104;1069;595;594;"";44
19840104;24;609;"";"";45
19840104;299;595;864;"";46
19840104;516;395;"";"";47
19840104;207;"";"";"";48
19840104;2461;145;"";"";49
19840104;4204;1044;"";"";50
19840104;33;704;"";"";51
19840104;1030;569;468;1;52
19840104;17813;828;612;"";53
19840104;553;375;"";"";54
19840104;82;285;828;"";55
19840104;21764;453;"";"";56
19840104;1284;847;"";1;57
19840104;1856;484;"";"";58
19840104;6743;555;25;"";59
19840104;19972;480;575;"";60
19840104;38;430;453;"";61
19840104;1856;484;488;"";62
19840104;5466;572;774;"";63
19840104;82;494;"";1;64
19840104;4624;648;445;"";65
19840104;370;899;"";"";66
19840104;1687;439;430;"";67
19840104;1346;829;"";1;68
19840104;5337;375;439;1;69
19840104;100;429;"";"";70
19840104;1787;430;453;"";71
19840104;70;339;750;"";72
19840104;143;987;961;"";73
19840104;1723;484;574;"";74
19840104;21;468;453;"";75
