reg_date;point;ssic_1;ssic_2;local;id
19860102;82;898;"";"";1
19860102;3129;710;"";"";2
19860102;3875;1056;"";"";3
19860102;799;705;"";"";4
19860102;262;453;"";"";5
19860102;10;592;1031;"";6
19860102;316;864;"";"";7
19860102;1758;354;"";1;8
19860102;1284;847;"";1;9
19860102;74;1056;914;"";10
19860102;1766;961;1047;"";11
19860102;1295;569;667;"";12
19860102;10623;762;"";1;13
19860102;2353;217;"";1;14
19860102;91;453;"";"";15
19860102;11643;489;"";"";16
19860102;833;569;468;"";17
19860102;82;569;439;1;18
19860102;690;571;"";"";19
19860102;688;453;571;"";20
19860102;70;582;928;1;21
19860102;362;569;48;1;22
19860102;982;"";"";"";23
19860102;15119;564;858;"";24
19860102;3473;235;"";"";25
19860102;5602;480;"";"";26
19860102;3767;572;468;"";27
19860102;73;569;468;1;28
19860102;2029;698;468;"";29
19860102;43;453;430;1;30
19860102;379;489;609;"";31
19860102;82;569;468;"";32
19860102;245;712;"";"";33
19860102;1109;"";569;"";34
19860102;82;430;914;1;35
19860102;2029;961;468;"";36
19860102;70;609;573;"";37
19860102;3114;819;"";"";38
19860102;6725;575;579;"";39
19860102;2029;829;"";"";40
19860102;155;1047;1052;"";41
19860102;82;569;469;"";42
19860102;234;998;"";"";43
19860102;159;453;"";"";44
19860102;723;474;485;1;45
19860102;82;828;909;"";46
19860102;82;489;103;"";47
19860102;1603;612;609;"";48
19860102;581;574;"";"";49
19860102;688;909;"";"";50
19860102;361;609;"";"";51
19860102;8110;103;569;"";52
19860102;1502;858;569;"";53
19860102;362;453;500;"";54
19860102;3810;453;"";"";55
19860102;7415;235;430;"";56
19860102;437;484;80;"";57
19860102;1260;556;560;"";58
19860102;1445;601;"";"";59
19860102;373;605;624;"";60
19860102;12276;575;574;"";61
19860102;176;430;"";"";62
19860102;1032;650;"";"";63
19860102;238;579;574;"";64
19860102;29;609;488;1;65
19860102;112;678;468;"";66
19860102;723;453;"";"";67
19860102;207;705;"";"";68
19860102;342;710;"";"";69
19860102;155;472;"";"";70
19860102;82;573;"";"";71
19860102;2963;1021;605;1;72
19860102;344;605;"";"";73
19860102;9957;617;517;"";74
19860102;2925;909;"";1;75
19860103;4552;314;"";1;76
19860103;1286;826;886;"";77
19860103;82;"";468;"";78
19860103;359;747;744;"";79
19860103;2275;430;439;"";80
19860103;481;141;"";"";81
19860103;82;389;661;1;82
19860103;4552;624;468;"";83
19860103;43;"";"";"";84
19860103;323;678;698;"";85
19860103;11397;710;"";"";86
19860103;29;676;388;1;87
19860103;1171;569;468;"";88
19860103;1485;516;"";"";89
19860103;43;1039;"";"";90
19860103;317;569;468;"";91
19860103;2990;468;569;1;92
19860103;82;453;"";"";93
19860103;1346;883;1044;1;94
19860103;8;"";1056;"";95
19860103;73;793;"";1;96
19860103;5466;594;334;"";97
19860103;3719;1044;615;"";98
19860103;799;569;629;"";99
19860103;43;453;439;"";100
19860103;1514;208;"";"";101
19860103;82;909;"";"";102
19860103;1293;698;"";"";103
19860103;954;520;605;"";104
19860103;2377;208;"";"";105
19860103;6604;105;609;"";106
19860103;362;556;"";"";107
19860103;1530;704;"";1;108
19860103;4926;622;"";"";109
19860103;13895;739;"";1;110
19860103;688;1031;338;"";111
19860103;12937;"";"";"";112
19860103;5070;571;"";"";113
19860103;1102;375;430;"";114
19860103;285;574;"";"";115
19860103;1603;763;"";1;116
19860103;218;480;"";"";117
19860103;7645;609;609;"";118
19860103;18027;713;"";"";119
19860103;1796;576;"";"";120
19860103;112;468;518;"";121
19860103;362;567;"";"";122
19860103;582;1056;468;"";123
19860103;688;717;521;"";124
19860103;82;825;829;"";125
19860103;105;453;"";"";126
19860103;167;1056;"";"";127
19860103;581;525;569;"";128
19860103;7696;520;713;"";129
19860103;1689;698;"";"";130
19860103;1603;801;805;1;131
